code,name,trading_value,open_price,high_price,low_price,close_price
710781,能率亞永豐61購01,10200,0.51,0.51,0.51,0.51
710782,高僑永豐61購01,18500,0.37,0.37,0.37,0.37
710783,閎康永豐61購02,9900,0.45,0.45,0.45,0.45
710784,新漢永豐61購01,0,,,,
710785,頎邦永豐61購02,334540,0.98,0.98,0.75,0.78
710786,頎邦永豐64購01,46440,1.33,1.33,1.27,1.28
710787,璟德永豐61購02,0,,,,
710788,寶雅永豐61購01,0,,,,
710789,大中台新61購02,0,,,,
710790,巨有台新61購01,14100,1.41,1.41,1.41,1.41
710791,立碁台新61購01,0,,,,
710792,竹陞台新61購02,7800,0.65,0.65,0.65,0.65
710793,宜鼎台新61購04,7000,0.34,0.34,0.33,0.34
710794,晟田台新61購01,21890,0.85,0.85,0.84,0.84
710795,新漢台新61購01,0,,,,
710796,新漢台新64購01,0,,,,
710797,群聯台新61購02,0,,,,
710798,中美晶富邦61購02,0,,,,
710799,欣銓富邦61購01,204360,0.57,0.61,0.55,0.61
710800,陽程富邦61購01,107800,2.18,2.18,2.15,2.15
710801,頎邦富邦63購01,125170,0.68,0.69,0.65,0.66
710802,頎邦富邦64購01,127070,0.7,0.71,0.68,0.68
710803,久元群益63購01,0,,,,
710804,大中群益61購01,0,,,,
710805,中美晶群益61購01,1394180,1.92,2.1,1.92,1.96
710806,世界群益61購02,332200,0.97,0.97,0.94,0.94
710807,台特化群益61購01,0,,,,
710808,均豪群益61購02,67000,1.34,1.34,1.34,1.34
710809,良維群益61購03,1228920,1.45,1.55,1.45,1.51
710810,杰力群益61購01,0,,,,
710811,威剛群益61購04,0,,,,
710812,茂達群益61購01,0,,,,
710813,能率群益61購01,0,,,,
710814,翔名群益61購01,0,,,,
710815,鈊象群益64購01,7200,0.2,0.2,0.2,0.2
710816,群聯群益67購02,1916370,1.81,1.87,1.8,1.81
710817,頎邦群益61購01,715050,0.92,0.95,0.87,0.87
710818,頎邦群益61購02,288670,0.75,0.76,0.72,0.72
710819,雙鴻群益61購01,52000,5.2,5.2,5.2,5.2
710820,中光電凱基61購03,0,,,,
710821,世紀*凱基61購02,0,,,,
710822,良維凱基61購02,108380,1.34,1.38,1.32,1.38
710823,昇佳電凱基61購01,0,,,,
710824,家登凱基61購01,71110,1.04,1.05,1.04,1.05
710825,翔名凱基61購01,0,,,,
710826,頎邦凱基61購01,4462980,0.51,0.52,0.47,0.48
710827,精材凱基61購06,0,,,,
710828,竹陞台新61購03,1682910,0.57,0.58,0.49,0.51
710829,朋程台新61購01,0,,,,
710830,朋程台新62購01,0,,,,
710831,朋程台新63購01,0,,,,
710832,朋程台新64購01,0,,,,
710833,博大台新61購01,76900,0.62,0.62,0.6,0.6
710834,群聯台新61購03,0,,,,
710835,群聯台新67購01,0,,,,
