code,name,trading_value,open_price,high_price,low_price,close_price
00411A,主動統一前沿科技,55714507,9.68,9.72,9.62,9.64
006201,元大富櫃50,5879583,43.8,44.11,43.1,43.12
00679B,元大美債20年,472934900,25.38,25.42,25.32,25.32
00687B,國泰20年美債,329949258,26.71,26.75,26.66,26.66
00687C,國泰20年美債+櫃U,223500,8.94,8.94,8.94,8.94
00694B,富邦美債1-3,11216693,41.42,41.7,41.42,41.7
00695B,富邦美債7-10,12574319,34.1,34.14,34.09,34.13
00696B,富邦美債20年,93981753,27.67,27.69,27.6,27.61
00697B,元大美債7-10,13513122,34.68,34.71,34.62,34.69
00719B,元大美債1-3,31938551,30.87,31.04,30.87,31.04
00720B,元大投資級公司債,82532963,31.48,31.52,31.42,31.46
00722B,群益投資級電信債,81782799,33.7,33.82,33.7,33.76
00723B,群益投資級科技債,2987950,29.05,29.05,28.99,28.99
00724B,群益投資級金融債,130712965,32.22,32.26,32.17,32.18
00725B,國泰投資級公司債,48245773,33.55,33.59,33.51,33.51
00726B,國泰新興投等債,15721879,31.72,31.73,31.69,31.71
00727B,國泰優選非投等債,4277426,39.23,39.23,39.15,39.16
00734B,台新JPM新興債,3079260,15.24,15.26,15.23,15.23
00740B,富邦全球投等債,43480418,36.79,36.94,36.79,36.85
00741B,富邦全球非投等債,4433632,36.87,37.08,36.87,37.06
00746B,富邦A級公司債,17263769,33.75,33.92,33.75,33.85
00749B,凱基新興債10+,3223240,30.35,30.44,30.35,30.4
00750B,凱基科技債10+,3227880,31.34,31.34,31.28,31.28
00751B,元大AAA至A公司債,68914522,29.95,30.0,29.91,29.93
00754B,群益AAA-AA公司債,3290859,31.04,31.04,30.94,30.96
00755B,群益投資級公用債,3679633,31.08,31.13,31.08,31.11
00756B,群益投等新興公債,4896419,29.77,29.82,29.72,29.72
00758B,復華能源債,5112509,49.49,49.49,49.33,49.4
00759B,復華製藥債,5293549,51.9,51.9,51.75,51.75
00760B,復華新興企業債,5430472,51.2,51.35,51.2,51.35
00761B,國泰A級公司債,10206652,32.58,32.58,32.48,32.5
00764B,群益25年美債,116802980,26.6,26.65,26.58,26.58
00768B,復華20年美債,21613295,47.17,47.4,47.15,47.16
00772B,中信高評級公司債,35163086,31.88,31.98,31.88,31.92
00773B,中信優先金融債,58983142,34.1,34.21,34.1,34.15
00777B,凱基AAA至A公司債,3573209,30.84,30.84,30.77,30.77
00778B,凱基金融債20+,3309137,32.74,32.74,32.66,32.66
00779B,凱基美債25+,8351100,26.9,26.94,26.9,26.92
00780B,國泰A級金融債,3768868,35.82,35.83,35.81,35.82
00781B,國泰A級科技債,3249270,26.81,26.86,26.76,26.77
00782B,國泰A級公用債,3168081,28.96,28.96,28.93,28.93
00785B,富邦金融投等債,1729365,33.29,33.29,33.24,33.24
00786B,元大10年IG銀行債,749677,31.22,31.22,31.19,31.2
00787B,元大10年IG醫療債,136766,31.33,31.33,31.25,31.25
00788B,元大10年IG電能債,948148,28.67,28.68,28.58,28.58
00789B,復華公司債A3,4917480,45.49,45.49,45.42,45.42
00791B,復華信用債1-5,7287202,56.4,56.55,56.4,56.5
00792B,群益A級公司債,4390782,30.38,30.4,30.28,30.28
00793B,群益AAA-A醫療債,3224285,29.3,29.36,29.26,29.26
00795B,中信美國公債20年,125774142,25.5,25.54,25.46,25.47
00799B,國泰A級醫療債,4088764,28.05,28.1,28.03,28.03
00834B,第一金金融債10+,3265000,32.65,32.65,32.65,32.65
00836B,永豐10年A公司債,2933544,27.41,27.48,27.32,27.32
00840B,凱基IG精選15+,2837467,28.35,28.35,28.35,28.35
00841B,凱基AAA-AA公司債,2700000,27.0,27.0,27.0,27.0
00842B,台新美元銀行債,10008837,28.86,28.88,28.79,28.79
00844B,台新15年IG金融債,2433210,30.01,30.04,30.01,30.04
00845B,富邦新興投等債,3623280,31.85,32.09,31.85,32.06
00846B,富邦歐洲銀行債,3540027,34.48,34.68,34.48,34.66
00847B,中信美國市政債,8032696,24.15,24.15,24.08,24.08
00848B,中信新興亞洲債,10606862,32.94,32.95,32.89,32.89
00849B,中信EM主權債0-5,11457095,37.12,37.22,37.12,37.22
00853B,統一美債10年Aa-A,29011633,26.39,26.42,26.38,26.39
