code,name,trading_value,close_price
00400A,主動國泰動能高息,728239778,15.17
00401A,主動摩根台灣鑫收,32604744,13.78
00402A,主動安聯美國科技,66575242,9.96
00403A,主動統一升級50,2169363617,11.14
00404A,主動聯博動能50,104471000,10.25
00405A,主動富邦台灣龍耀,679563508,9.45
00406A,主動中信台灣收益,193709927,10.41
00407A,主動凱基台灣,862392404,10.01
0050,元大台灣50,7929812970,108.8
0051,元大中型100,8395878,148.35
0052,富邦科技,1711741422,64.1
0053,元大電子,7228166,248.5
0055,元大MSCI金融,24054870,41.18
0056,元大高股息,3025946721,52.6
0057,富邦摩台,13801078,321.65
0061,元大寶滬深,7236038,25.03
006203,元大MSCI台灣,6336035,198.6
006204,永豐臺灣加權,3359977,232.2
006205,富邦上証,27968191,41.28
006206,元大上證50,648705,37.35
006207,復華滬深,13631302,33.63
006208,富邦台50,788238278,252.3
00625K,富邦上証+R,81000,9.0
00631L,元大台灣50正2,10115514214,38.88
00632R,元大台灣50反1,1328208170,9.9
00633L,富邦上証正2,584286884,48.92
00634R,富邦上証反1,3402140,3.13
00635U,期元大S&P黃金,138209680,42.31
00636,國泰中國A50,16924710,28.07
00636K,國泰中國A50+U,1788,8.94
00637L,元大滬深300正2,1208604348,20.18
00638R,元大滬深300反1,2629850,6.74
00639,富邦深100,36338878,18.1
00640L,富邦日本正2,24984483,106.4
00641R,富邦日本反1,5643581,3.76
00642U,期元大S&P石油,62468504,22.19
00643,群益深証中小,62688960,20.14
00643K,群益深証中小+R,47410,4.34
00645,富邦日本,7155641,57.15
00646,元大S&P500,133220403,75.0
00647L,元大S&P500正2,7999902,134.05
00648R,元大S&P500反1,1215080,4.01
00650L,復華香港正2,92478825,14.19
00651R,復華香港反1,4066403,5.72
00652,富邦印度,10904615,33.23
00653L,富邦印度正2,11007276,46.75
00654R,富邦印度反1,33800,6.76
00655L,國泰中國A50正2,197680193,33.86
00656R,國泰中國A50反1,5359170,5.95
00657,國泰日經225,9459542,80.95
00657K,國泰日經225+U,5076,25.38
00660,元大歐洲50,188831,45.96
00661,元大日經225,5807421,89.65
00662,富邦NASDAQ,494306121,122.2
00663L,國泰臺灣加權正2,1680883595,112.5
00664R,國泰臺灣加權反1,53703437,1.6
00665L,富邦恒生國企正2,220550155,7.74
00666R,富邦恒生國企反1,2284773,10.12
00668,國泰美國道瓊,2742014,60.9
00668K,國泰美國道瓊+U,3828,19.14
