code,name,trading_value,close_price
00400A,主動國泰動能高息,1380566057,13.2
00401A,主動摩根台灣鑫收,185349641,12.38
00403A,主動統一升級50,18747747711,10.0
0050,元大台灣50,9472541597,95.4
0051,元大中型100,18275374,129.1
0052,富邦科技,2896199057,55.95
0053,元大電子,7592505,221.3
0055,元大MSCI金融,10482101,33.66
0056,元大高股息,2694919682,44.45
0057,富邦摩台,4055201,286.45
0061,元大寶滬深,5012208,25.0
006203,元大MSCI台灣,13538554,173.1
006204,永豐臺灣加權,883743,205.15
006205,富邦上証,36200062,41.23
006206,元大上證50,2956691,37.33
006207,復華滬深,4114854,33.52
006208,富邦台50,1179070251,220.4
00625K,富邦上証+R,181600,9.08
00631L,元大台灣50正2,8362567648,31.26
00632R,元大台灣50反1,1682809428,11.46
00633L,富邦上証正2,177224911,52.65
00634R,富邦上証反1,3520036,3.06
00635U,期元大S&P黃金,291249220,48.05
00636,國泰中國A50,21395030,28.68
00636K,國泰中國A50+U,0,
00637L,元大滬深300正2,707236155,21.75
00638R,元大滬深300反1,1409970,6.52
00639,富邦深100,30152866,17.91
00640L,富邦日本正2,35159141,97.4
00641R,富邦日本反1,10056760,3.94
00642U,期元大S&P石油,186256467,31.0
00643,群益深証中小,75608462,20.22
00643K,群益深証中小+R,0,
00645,富邦日本,29500200,54.35
00646,元大S&P500,198431940,73.95
00647L,元大S&P500正2,10175686,133.45
00648R,元大S&P500反1,5278663,4.01
00650L,復華香港正2,116018185,17.69
00651R,復華香港反1,3025863,5.15
00652,富邦印度,15060260,32.36
00653L,富邦印度正2,19379162,45.76
00654R,富邦印度反1,392676,6.85
00655L,國泰中國A50正2,96725828,36.71
00656R,國泰中國A50反1,5135440,5.78
00657,國泰日經225,19572849,72.45
00657K,國泰日經225+U,0,
00660,元大歐洲50,2359898,42.53
00661,元大日經225,11180473,79.4
00662,富邦NASDAQ,727923565,118.8
00663L,國泰臺灣加權正2,927479653,89.8
00664R,國泰臺灣加權反1,56393489,1.85
00665L,富邦恒生國企正2,205876626,9.98
00666R,富邦恒生國企反1,846424,8.93
00668,國泰美國道瓊,3104390,57.3
00668K,國泰美國道瓊+U,0,
00669R,國泰美國道瓊反1,9558548,5.53
00670L,富邦NASDAQ正2,298297778,206.6
00671R,富邦NASDAQ反1,9544014,2.47
00673R,期元大S&P原油反1,176691971,11.85
00674R,期元大S&P黃金反1,4822066,26.97
00675L,富邦臺灣加權正2,738333785,271.05
00676R,富邦臺灣加權反1,38782718,6.29
00678,群益那斯達克生技,15790421,35.97
00680L,元大美債20正2,375453320,6.72
00681R,元大美債20反1,747434,21.32
00682U,期元大美元指數,265411,20.17
00683L,期元大美元指正2,1210572,21.19
00684R,期元大美元指反1,0,
00685L,群益臺灣加權正2,527996286,245.35
00686R,群益臺灣加權反1,6031240,1.13
00688L,國泰20年美債正2,41541801,6.7
00689R,國泰20年美債反1,5841804,22.24
00690,兆豐藍籌30,116585855,71.9
00692,富邦公司治理,104810145,83.0
00693U,期街口S&P黃豆,46024998,22.18
00700,富邦恒生國企,4648285,17.51
00701,國泰股利精選30,65133953,31.85
00702,國泰標普低波高息,2520890,23.76
00703,台新MSCI中國,1168713,20.21
00706L,期元大S&P日圓正2,16571128,19.43
00707R,期元大S&P日圓反1,635200,31.76
00708L,期元大S&P黃金正2,314917884,92.95
00709,富邦歐洲,4603545,37.95
00710B,復華彭博非投等債,4597774,18.82
00711B,復華彭博新興債,2197424,15.93
00712,復華富時不動產,296407236,8.82
00713,元大台灣高息低波,997228944,55.4
00714,群益道瓊美國地產,2401997,21.27
00715L,期街口布蘭特正2,366251718,64.2
00717,富邦美國特別股,2329949,15.12
00728,第一金工業30,22146628,58.05
00730,富邦臺灣優質高息,12580241,26.14
00731,復華富時高息低波,53582219,74.85
