roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
115,3,1101,台泥,12412837,8593689,13635386,44.44,-8.96,33259418,34972226,-4.89
115,3,1102,亞泥,5349407,3493115,6532662,53.14,-18.11,14829486,16594707,-10.63
115,3,1103,嘉泥,242715,188835,266282,28.53,-8.85,688369,752454,-8.51
115,3,1104,環泥,580759,460060,702215,26.23,-17.29,1759047,1928654,-8.79
115,3,1108,幸福,346885,259157,408312,33.85,-15.04,980706,1212710,-19.13
115,3,1109,信大,314014,167550,446709,87.41,-29.7,855341,989911,-13.59
115,3,1110,東泥,224535,159417,274954,40.84,-18.33,582643,740524,-21.32
115,3,1201,味全,1684666,1640170,1773075,2.71,-4.98,5001067,5215369,-4.1
115,3,1203,味王,464822,386214,521527,20.35,-10.87,1312851,1532412,-14.32
115,3,1210,大成,9209941,7628102,8770327,20.73,5.01,26564977,25542326,4.0
115,3,1213,大飲,23319,29013,19695,-19.62,18.4,77083,66141,16.54
115,3,1215,卜蜂,2511460,2030010,2335353,23.71,7.54,7176319,6697082,7.15
115,3,1216,統一,57379159,51532816,55935541,11.34,2.58,175016437,169266002,3.39
115,3,1217,愛之味,384534,319659,402634,20.29,-4.49,1166214,1185670,-1.64
115,3,1218,泰山,872329,837121,825493,4.2,5.67,2653122,2499326,6.15
115,3,1219,福壽,1303877,1059567,1294322,23.05,0.73,3635378,3635481,-0.0
115,3,1220,台榮,247224,166071,269636,48.86,-8.31,695496,758249,-8.27
115,3,1225,福懋油,1078686,889099,1061994,21.32,1.57,3281183,3220752,1.87
115,3,1227,佳格,2101944,1872242,2006555,12.26,4.75,7770503,6880311,12.93
115,3,1229,聯華,932321,687463,768711,35.61,21.28,2616213,2421955,8.02
115,3,1231,聯華食,973737,1103687,1001578,-11.77,-2.77,3348538,3125895,7.12
115,3,1232,大統益,2019725,1661070,1935400,21.59,4.35,5894059,5397170,9.2
115,3,1233,天仁,175658,200044,169134,-12.19,3.85,573804,551138,4.11
