roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
106,2,1101,台泥,5964991,6131670,3632053,-2.71,64.23,12096661,10207643,18.5
106,2,1102,亞泥,3049461,4162130,2595177,-26.73,17.5,7211591,7661239,-5.86
106,2,1103,嘉泥,171513,232657,143549,-26.28,19.48,404170,340877,18.56
106,2,1104,環泥,308357,363865,298112,-15.25,3.43,672222,671423,0.11
106,2,1108,幸福,232100,316773,249352,-26.72,-6.91,548873,597618,-8.15
106,2,1109,信大,174572,333060,137176,-47.58,27.26,507632,475934,6.66
106,2,1110,東泥,115850,104003,99952,11.39,15.9,219853,240414,-8.55
106,2,1201,味全,1127074,1213521,1063098,-7.12,6.01,2340595,2276199,2.82
106,2,1203,味王,472692,543487,481019,-13.02,-1.73,1016180,1033790,-1.7
106,2,1210,大成,5549618,6274308,5436415,-11.55,2.08,11823926,11732889,0.77
106,2,1213,大飲,46859,78483,40460,-40.29,15.81,125342,116584,7.51
106,2,1215,卜蜂,1415146,1647288,1272939,-14.09,11.17,3062434,2695272,13.62
106,2,1216,統一,28430863,34772056,30528301,-18.23,-6.87,63202919,70925174,-10.88
106,2,1217,愛之味,257183,391125,277750,-34.24,-7.4,648308,641127,1.12
106,2,1218,泰山,526314,699446,505213,-24.75,4.17,1225760,1230401,-0.37
106,2,1219,福壽,856122,1008902,856686,-15.14,-0.06,1865024,1756047,6.2
106,2,1220,台榮,132487,191334,160753,-30.75,-17.58,323821,404177,-19.88
106,2,1225,福懋油,767569,889754,734483,-13.73,4.5,1657323,1671764,-0.86
106,2,1227,佳格,1414397,3473609,1656304,-59.28,-14.6,4888004,5961810,-18.01
106,2,1229,聯華,332673,395780,351095,-15.94,-5.24,728453,842604,-13.54
106,2,1231,聯華食,503680,681056,445400,-26.04,13.08,1184736,1176583,0.69
106,2,1232,大統益,1254503,1604792,1132783,-21.82,10.74,2859294,2525039,13.23
106,2,1233,天仁,148173,240083,178691,-38.28,-17.07,388256,397724,-2.38
106,2,1234,黑松,654021,940172,560719,-30.43,16.63,1594193,1254262,27.1
106,2,1235,興泰,2819,3561,8100,-20.83,-65.19,6380,12662,-49.61
106,2,1236,宏亞,106142,224932,132389,-52.81,-19.82,331074,462777,-28.45
106,2,1702,南僑,1042242,1456926,995051,-28.46,4.74,2499168,2432894,2.72
106,2,1737,臺鹽,181455,239319,182609,-24.17,-0.63,420774,424805,-0.94
106,2,1301,台塑,14967527,14807514,11162684,1.08,34.08,29775042,25321136,17.58
106,2,1303,南亞,22900325,23998463,18590104,-4.57,23.18,46898788,39739361,18.01
