roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
109,9,1101,台泥,9745147,9885013,10120251,-1.41,-3.7,82248492,87561867,-6.06
109,9,1102,亞泥,7256519,6683133,7394901,8.57,-1.87,54564173,66209267,-17.58
109,9,1103,嘉泥,163492,152585,151142,7.14,8.17,1481525,1362993,8.69
109,9,1104,環泥,450890,366990,391206,22.86,15.25,3886551,3551356,9.43
109,9,1108,幸福,380768,366847,312444,3.79,21.86,3358346,2659636,26.27
109,9,1109,信大,675602,625696,722519,7.97,-6.49,5213429,5620429,-7.24
109,9,1110,東泥,143254,98636,121926,45.23,17.49,1137024,1138816,-0.15
109,9,1201,味全,1770907,1860519,1797271,-4.81,-1.46,13942044,15432811,-9.65
109,9,1203,味王,540372,509509,540815,6.05,-0.08,4591387,4744857,-3.23
109,9,1210,大成,7188625,6771132,6685601,6.16,7.52,57304544,57342218,-0.06
109,9,1213,大飲,41327,64820,13552,-36.24,204.95,326544,354982,-8.01
109,9,1215,卜蜂,1920517,1892166,1808855,1.49,6.17,16366708,15575358,5.08
109,9,1216,統一,40353475,41212854,39494107,-2.08,2.17,340812432,343355145,-0.74
109,9,1217,愛之味,565045,639670,441377,-11.66,28.01,3785349,3614466,4.72
109,9,1218,泰山,819145,853882,782187,-4.06,4.72,6429624,6196441,3.76
109,9,1219,福壽,1086298,975254,994450,11.38,9.23,8959094,9044740,-0.94
109,9,1220,台榮,287415,260431,229760,10.36,25.09,2055881,2075508,-0.94
109,9,1225,福懋油,835861,826403,837263,1.14,-0.16,7489528,7838370,-4.45
109,9,1227,佳格,3958750,3167337,2745482,24.98,44.19,24224530,21404896,13.17
109,9,1229,聯華,915901,701837,788561,30.5,16.14,7099771,5976587,18.79
109,9,1231,聯華食,694394,900089,586266,-22.85,18.44,6485644,6316123,2.68
109,9,1232,大統益,1537742,1457410,1451185,5.51,5.96,12485761,12609329,-0.97
109,9,1233,天仁,180532,170359,193774,5.97,-6.83,1419303,1682302,-15.63
109,9,1234,黑松,876580,983169,749900,-10.84,16.89,6869017,6751799,1.73
109,9,1235,興泰,28185,9481,24344,197.27,15.77,55355,47868,15.64
109,9,1236,宏亞,193049,146991,139678,31.33,38.21,1149808,1276027,-9.89
109,9,1702,南僑,1768470,1626214,1533998,8.74,15.28,12681566,13427224,-5.55
109,9,1737,臺鹽,282412,257340,257599,9.74,9.63,2302632,2170967,6.06
109,9,1301,台塑,15836081,14622498,15254406,8.29,3.81,131178144,159296860,-17.65
109,9,1303,南亞,23828101,22209740,23540826,7.28,1.22,193972294,214657229,-9.63
109,9,1304,台聚,4307703,4006402,4484846,7.52,-3.94,34628762,41984847,-17.52
109,9,1305,華夏,1134914,1058853,1122459,7.18,1.1,9140436,11407217,-19.87
109,9,1307,三芳,840399,677965,921765,23.95,-8.82,6175092,7737016,-20.18
109,9,1308,亞聚,473181,407986,562238,15.97,-15.83,3985435,5040451,-20.93
