roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
108,9,1264,德麥,336842,350835,340050,-3.98,-0.94,2975652,2932105,1.48
108,9,1780,立弘,45578,48775,58097,-6.55,-21.54,516635,607303,-14.92
108,9,1796,金穎生技,32322,25049,31331,29.03,3.16,232985,250926,-7.14
108,9,4205,中華食,121644,142405,115636,-14.57,5.19,1169702,1106022,5.75
108,9,4207,環泰,336738,340937,285866,-1.23,17.79,3045278,2863852,6.33
108,9,4303,信立,34988,36918,32073,-5.22,9.08,333496,342167,-2.53
108,9,4304,勝昱,48616,34867,38854,39.43,25.12,318910,336684,-5.27
108,9,4305,世坤,86949,77407,77380,12.32,12.36,792280,867254,-8.64
108,9,9950,萬國通,258536,299239,197754,-13.6,30.73,2437672,2011575,21.18
108,9,4401,東隆興,309540,340693,256851,-9.14,20.51,2740065,3088714,-11.28
108,9,4402,郡都開發,12320,10859,21515,13.45,-42.73,121219,402791,-69.9
108,9,4406,新昕纖,45400,63911,60114,-28.96,-24.47,468572,580699,-19.3
108,9,4413,飛寶企業,74195,60671,55496,22.29,33.69,414927,476931,-13.0
108,9,4417,金洲,254036,237325,309818,7.04,-18.0,2102921,2490864,-15.57
108,9,4420,光明,52194,73121,98904,-28.61,-47.22,651370,860949,-24.34
108,9,4432,銘旺實,165077,256148,185580,-35.55,-11.04,1446635,1662035,-12.96
108,9,4433,興采,137427,140341,136517,-2.07,0.66,1243608,1178442,5.52
108,9,6506,雙邦,159208,151792,134913,4.88,18.0,1615236,1714379,-5.78
108,9,1570,力肯,41257,50019,62346,-17.51,-33.82,432499,491599,-12.02
108,9,1580,新麥,378813,421276,390329,-10.07,-2.95,3033689,3167040,-4.21
108,9,1586,和勤,180741,167589,241297,7.84,-25.09,1465511,1902867,-22.98
108,9,1599,宏佳騰,205731,238479,419813,-13.73,-50.99,1774491,2093925,-15.25
108,9,2066,世德,192016,190527,227250,0.78,-15.5,1900609,1294171,46.85
108,9,2067,嘉鋼,73472,69526,116075,5.67,-36.7,701884,1071223,-34.47
108,9,2070,精湛,34989,58446,82185,-40.13,-57.42,461438,591341,-21.96
108,9,2235,謚源,66335,74814,69942,-11.33,-5.15,624763,570317,9.54
108,9,3162,精確,79979,93197,64141,-14.18,24.69,609992,485087,25.74
108,9,3226,龍鋒,156191,153287,168708,1.89,-7.41,1434006,1259853,13.82
108,9,3379,彬台,86991,22347,85131,289.27,2.18,349683,292358,19.6
108,9,3685,元創精密,92015,62200,96764,47.93,-4.9,585092,946115,-38.15
108,9,4502,健信,116183,103868,197240,11.85,-41.09,1225636,1959068,-37.43
108,9,4503,金雨,35029,34636,26165,1.13,33.87,299762,244286,22.7
108,9,4506,崇友,344323,263778,360678,30.53,-4.53,3125544,3077645,1.55
108,9,4510,高鋒,151530,160703,227506,-5.7,-33.39,1481703,2195512,-32.51
108,9,4513,福裕,105349,104427,129670,0.88,-18.75,991911,1620687,-38.79
108,9,4523,永彰,113645,90052,77575,26.19,46.49,700686,779651,-10.12
108,9,4527,方方土霖,267526,214576,270595,24.67,-1.13,1824017,2183024,-16.44
108,9,4528,江興鍛,260257,231545,214995,12.4,21.05,2156619,2128350,1.32
108,9,4533,協易機,310605,277458,284292,11.94,9.25,2345467,2924167,-19.79
108,9,4534,慶騰,91258,95592,107208,-4.53,-14.87,974253,1154769,-15.63
108,9,4535,至興,203199,199149,230260,2.03,-11.75,1734931,2270816,-23.59
108,9,4538,大詠城,28067,30641,58760,-8.4,-52.23,338322,519858,-34.92
108,9,4543,萬在,63243,74744,73745,-15.38,-14.24,720987,866751,-16.81
108,9,4549,桓達,89103,87531,92444,1.79,-3.61,826881,828855,-0.23
108,9,4550,長佳,100825,60121,97545,67.7,3.36,708882,941551,-24.71
108,9,4558,寶緯,109764,117313,127128,-6.43,-13.65,960653,969885,-0.95
108,9,4561,健椿,43352,45770,62620,-5.28,-30.76,545856,777996,-29.83
108,9,4563,百德,153583,97357,217292,57.75,-29.31,1086910,1498713,-27.47
108,9,4568,科際精密,94595,103996,92808,-9.03,1.92,877940,928305,-5.42
108,9,4580,捷流閥業,188351,193156,112722,-2.48,67.09,1781032,1402706,26.97
108,9,5381,光譜,28946,29049,27541,-0.35,5.1,287236,314699,-8.72
108,9,6122,擎邦,141581,155107,137582,-8.72,2.9,1388302,1414485,-1.85
108,9,6125,廣運,373760,339389,276140,10.12,35.35,3331941,4328390,-23.02
108,9,6425,易發,30363,138944,264432,-78.14,-88.51,1191900,1417975,-15.94
108,9,6603,富強鑫,257111,246075,275013,4.48,-6.5,2366381,2550863,-7.23
108,9,6609,瀧澤科,194965,180701,230734,7.89,-15.5,1976052,2473873,-20.12
108,9,8027,鈦昇,98843,140715,146168,-29.75,-32.37,1132461,1476965,-23.32
108,9,8083,瑞穎,86491,121117,108982,-28.58,-20.63,1126115,1044304,7.83
108,9,8107,大億金茂,55845,67932,80864,-17.79,-30.93,665217,782090,-14.94
108,9,8255,朋程,288572,252055,291782,14.48,-1.1,2404865,2698583,-10.88
108,9,9951,皇田,467998,500759,497708,-6.54,-5.96,4330234,4394933,-1.47
108,9,2061,風青,64519,67391,106207,-4.26,-39.25,700605,1057122,-33.72
108,9,1742,台蠟,23982,37225,24040,-35.57,-0.24,300072,290144,3.42
108,9,3430,奇鈦科,102750,114623,137002,-10.35,-25.0,1081246,1009788,7.07
108,9,4706,大恭,116657,134592,142874,-13.32,-18.34,1147270,1254096,-8.51
108,9,4707,磐亞,141557,149897,146895,-5.56,-3.63,1242058,1438536,-13.65
108,9,4711,永純,90744,91380,87558,-0.69,3.63,796168,857925,-7.19
108,9,4714,永捷,77835,35488,43978,119.32,76.98,398503,420186,-5.16
108,9,4716,大立,81755,90765,83317,-9.92,-1.87,745411,812942,-8.3
108,9,4721,美琪瑪,336786,267974,410874,25.67,-18.03,2483024,3854942,-35.58
108,9,4741,泓瀚,58574,60944,43465,-3.88,34.76,533329,517601,3.03
108,9,4754,國碳科,41791,35287,36569,18.43,14.27,421768,336921,25.18
108,9,4767,誠泰科技,97956,101809,86129,-3.78,13.73,827646,810488,2.11
108,9,4768,晶呈科技,53036,45281,28829,17.12,83.96,391747,378067,3.61
108,9,6509,聚和,355458,322455,321186,10.23,10.67,2809338,2590497,8.44
