roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
115,1,1101,台泥,12252892,14219975,12213350,-13.83,0.32,12252892,12213350,0.32
115,1,1102,亞泥,5986964,6172608,5877674,-3.0,1.85,5986964,5877674,1.85
115,1,1103,嘉泥,256819,274867,268003,-6.56,-4.17,256819,268003,-4.17
115,1,1104,環泥,718229,779128,687804,-7.81,4.42,718229,687804,4.42
115,1,1108,幸福,374664,373043,448229,0.43,-16.41,374664,448229,-16.41
115,1,1109,信大,373777,415638,304555,-10.07,22.72,373777,304555,22.72
115,1,1110,東泥,198691,236192,236789,-15.87,-16.08,198691,236789,-16.08
115,1,1201,味全,1676231,1670916,1913014,0.31,-12.37,1676231,1913014,-12.37
115,1,1203,味王,461815,435027,540262,6.15,-14.52,461815,540262,-14.52
115,1,1210,大成,9726934,9592082,8684590,1.4,12.0,9726934,8684590,12.0
115,1,1213,大飲,24751,20948,22379,18.15,10.59,24751,22379,10.59
115,1,1215,卜蜂,2634849,2749915,2331017,-4.18,13.03,2634849,2331017,13.03
115,1,1216,統一,66104462,52311321,65755516,26.36,0.53,66104462,65755516,0.53
115,1,1217,愛之味,462021,314958,469134,46.69,-1.51,462021,469134,-1.51
115,1,1218,泰山,943672,832865,887717,13.3,6.3,943672,887717,6.3
115,1,1219,福壽,1271934,1332578,1178879,-4.55,7.89,1271934,1178879,7.89
115,1,1220,台榮,282201,308992,218906,-8.67,28.91,282201,218906,28.91
115,1,1225,福懋油,1313398,1130151,1090255,16.21,20.46,1313398,1090255,20.46
115,1,1227,佳格,3796317,2774103,3268631,36.84,16.14,3796317,3268631,16.14
115,1,1229,聯華,996429,1531226,864201,-34.92,15.3,996429,864201,15.3
115,1,1231,聯華食,1271114,1303204,1289469,-2.46,-1.42,1271114,1289469,-1.42
115,1,1232,大統益,2213265,1993530,1828340,11.02,21.05,2213265,1828340,21.05
115,1,1233,天仁,198102,202853,220238,-2.34,-10.05,198102,220238,-10.05
115,1,1234,黑松,794428,640539,842531,24.02,-5.7,794428,842531,-5.7
115,1,1235,興泰,23862,11362,8607,110.01,177.23,23862,8607,177.23
115,1,1236,宏亞,303656,196864,295078,54.24,2.9,303656,295078,2.9
115,1,1702,南僑,2104739,2010718,2169615,4.67,-2.99,2104739,2169615,-2.99
115,1,1737,臺鹽,277168,285940,327834,-3.06,-15.45,277168,327834,-15.45
