roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
110,5,1264,德麥,351555,409622,324372,-14.17,8.38,1953114,1570745,24.34
110,5,1294,漢田生技,22037,19180,19656,14.89,12.11,105099,78502,33.88
110,5,1780,立弘,55116,58258,54710,-5.39,0.74,291295,290712,0.2
110,5,1796,金穎生技,40632,40278,25697,0.87,58.11,194775,143392,35.83
110,5,4205,中華食,143397,132842,127063,7.94,12.85,687429,669082,2.74
110,5,4207,環泰,338081,327774,288190,3.14,17.31,1744654,1597945,9.18
110,5,4303,信立,30176,37820,21656,-20.21,39.34,167496,161182,3.91
110,5,4304,勝昱,38735,31284,29361,23.81,31.92,175037,154154,13.54
110,5,4305,世坤,83627,125100,60232,-33.15,38.84,479378,395429,21.22
110,5,9950,萬國通,41141,82128,24894,-49.9,65.26,325993,586741,-44.44
110,5,4401,東隆興,430881,452554,170085,-4.78,153.33,1971518,1069059,84.41
110,5,4402,郡都開發,15241,14310,12921,6.5,17.95,56855,60021,-5.27
110,5,4406,新昕纖,42330,36987,15987,14.44,164.77,186027,154176,20.65
110,5,4413,飛寶企業,33179,75910,35644,-56.29,-6.91,293525,208994,40.44
110,5,4417,金洲,212710,228106,231470,-6.74,-8.1,1128976,894130,26.26
110,5,4420,光明,76166,84825,27592,-10.2,176.04,397331,230140,72.64
110,5,4432,銘旺實,95811,121044,113010,-20.84,-15.21,495341,559600,-11.48
110,5,4433,興采,332432,257176,167841,29.26,98.06,1113958,753670,47.8
110,5,6506,雙邦,187023,192605,137654,-2.89,35.86,883222,839916,5.15
110,5,1570,力肯,59429,39647,58094,49.89,2.29,261939,220954,18.54
110,5,1580,新麥,331926,387548,268179,-14.35,23.77,1505942,994095,51.48
110,5,1586,和勤,208039,205459,201534,1.25,3.22,1039958,822635,26.41
110,5,1599,宏佳騰,294811,227624,213669,29.51,37.97,1280727,1006109,27.29
110,5,2066,世德,194104,197488,117418,-1.71,65.31,983912,774992,26.95
110,5,2067,嘉鋼,76050,79457,62409,-4.28,21.85,396329,292083,35.69
110,5,2070,精湛,37989,62317,31764,-39.03,19.59,244595,179203,36.49
110,5,2235,謚源,58483,52107,34542,12.23,69.3,248713,254525,-2.28
110,5,3162,精確,91022,106184,38799,-14.27,134.59,485698,307622,57.88
110,5,3226,龍鋒,269498,263755,148141,2.17,81.91,1186621,834031,42.27
110,5,3379,彬台,39084,34076,37411,14.69,4.47,291950,125349,132.9
110,5,3685,元創精密,105706,97106,57579,8.85,83.58,503329,261547,92.44
110,5,4502,健信,118560,104153,80596,13.83,47.1,606100,400361,51.38
110,5,4503,金雨,10423,6241,20246,67.0,-48.51,52925,99845,-46.99
110,5,4506,崇友,326117,321116,375724,1.55,-13.2,1682025,1731504,-2.85
110,5,4510,高鋒,201664,165906,148381,21.55,35.9,670717,654927,2.41
110,5,4513,福裕,165168,114542,106406,44.19,55.22,629721,358172,75.81
110,5,4523,永彰,44908,50096,53488,-10.35,-16.04,296850,270821,9.61
110,5,4527,方方土霖,214793,170603,239223,25.9,-10.21,909462,925916,-1.77
110,5,4528,江興鍛,221859,247435,156563,-10.33,41.7,1091338,839341,30.02
110,5,4533,協易機,377837,280692,247540,34.6,52.63,1411916,1022030,38.14
110,5,4534,慶騰,122480,108472,78216,12.91,56.59,547195,404139,35.39
110,5,4535,至興,225289,219048,130044,2.84,73.24,1196367,750049,59.5
110,5,4538,大詠城,41763,33456,23827,24.82,75.27,177804,126765,40.26
110,5,4543,萬在,80982,82506,43899,-1.84,84.47,367485,316967,15.93
110,5,4549,桓達,91221,114851,82844,-20.57,10.11,464220,379915,22.19
110,5,4550,長佳,145342,130965,97928,10.97,48.41,540452,435362,24.13
110,5,4558,寶緯,166784,162870,112043,2.4,48.85,796748,473304,68.33
110,5,4561,健椿,106029,110307,71693,-3.87,47.89,524750,271848,93.03
110,5,4563,百德,138960,134898,122054,3.01,13.85,646830,782137,-17.29
110,5,4568,科際精密,115225,107454,95360,7.23,20.83,479679,326907,46.73
110,5,4580,捷流閥業,208101,205842,208812,1.09,-0.34,923908,1014995,-8.97
110,5,5381,光譜,32824,29764,24557,10.28,33.66,168458,147673,14.07
110,5,6122,擎邦,135603,130577,149202,3.84,-9.11,567809,1100858,-48.42
