roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
102,4,1780,立弘,45278,40438,33359,11.96,35.72,152356,154837,-1.6
102,4,4205,中華食,93870,94825,86779,-1.0,8.17,409123,397235,2.99
102,4,4207,環泰,320766,321235,351819,-0.14,-8.82,1270794,1212514,4.8
102,4,4303,信立,61932,61957,68640,-0.04,-9.77,200747,224084,-10.41
102,4,4304,勝昱,51131,49441,63536,3.41,-19.52,193980,234683,-17.34
102,4,4305,世坤,131553,121265,119306,8.48,10.26,428090,499937,-14.37
102,4,9950,萬國通,293707,279015,280508,5.26,4.7,1084186,1036424,4.6
102,4,4401,東隆興,416328,455370,269425,-8.57,54.52,1499272,1124190,33.36
102,4,4402,郡都開發,78338,52700,97992,48.64,-20.05,247410,372068,-33.5
102,4,4406,新昕纖,73649,69867,91161,5.41,-19.2,268689,324301,-17.14
102,4,4413,飛寶企業,4395,4675,3404,-5.98,29.11,16933,13035,29.9
102,4,4417,金洲,181723,272835,212116,-33.39,-14.32,753711,754897,-0.15
102,4,4420,光明,39429,44485,57290,-11.36,-31.17,161348,216526,-25.48
102,4,4432,銘旺實,135820,175784,108537,-22.73,25.13,774469,599768,29.12
102,4,4433,興采,141335,134425,124300,5.14,13.7,483608,458216,5.54
102,4,6506,雙邦,191109,207958,166513,-8.1,14.77,626020,814387,-23.12
102,4,1570,力肯,63466,46195,35394,37.38,79.31,194656,138668,40.37
102,4,1580,新麥,304727,235689,297978,29.29,2.26,958225,942110,1.71
102,4,1586,和勤,116706,107427,110695,8.63,5.43,409169,361206,13.27
102,4,1599,宏佳騰,196407,179976,123557,9.12,58.96,500791,529269,-5.38
102,4,2066,世德,97996,88013,84104,11.34,16.51,318733,322280,-1.1
102,4,2067,嘉鋼,70954,77086,81196,-7.95,-12.61,307509,334123,-7.96
102,4,2235,謚源,57875,59866,54377,-3.32,6.43,201255,216216,-6.91
102,4,3162,精確,66959,64838,52883,3.27,26.61,229745,211321,8.71
102,4,3226,龍鋒,50259,59904,26988,-16.1,86.22,194327,99084,96.12
102,4,3379,彬台,45823,195807,58028,-76.59,-21.03,373393,417405,-10.54
102,4,3685,元創精密,55926,47596,38352,17.5,45.82,194538,126020,54.37
102,4,4502,健信,89515,84455,112248,5.99,-20.25,355935,435798,-18.32
102,4,4503,金雨,9254,4019,25223,130.25,-63.31,33761,47222,-28.5
102,4,4506,崇友,240112,263924,250372,-9.02,-4.09,1014677,944216,7.46
102,4,4510,高鋒,166704,164408,158714,1.39,5.03,566809,522538,8.47
102,4,4513,福裕,131302,181405,210143,-27.61,-37.51,608712,877537,-30.63
102,4,4523,永彰,103025,135919,140890,-24.2,-26.87,504919,579290,-12.83
102,4,4527,方方土霖,150571,178041,165980,-15.42,-9.28,526272,582645,-9.67
102,4,4528,江興鍛,131434,119011,123578,10.43,6.35,446389,459622,-2.87
102,4,4533,協易機,412509,386832,332956,6.63,23.89,1261204,1085805,16.15
102,4,4534,慶騰,89930,76139,67399,18.11,33.42,298862,248926,20.06
102,4,4535,至興,310311,297591,301471,4.27,2.93,1163969,1233296,-5.62
