roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
108,2,1264,德麥,187855,439259,214923,-57.23,-12.59,627114,625890,0.19
108,2,1780,立弘,49343,66323,64227,-25.6,-23.17,115666,135954,-14.92
108,2,1796,金穎生技,14975,34391,23415,-56.45,-36.04,49366,53765,-8.18
108,2,4205,中華食,101677,158912,117250,-36.01,-13.28,260589,253422,2.82
108,2,4207,環泰,300207,370850,249698,-19.04,20.22,671057,586777,14.36
108,2,4303,信立,26143,40159,27244,-34.9,-4.04,66302,65898,0.61
108,2,4304,勝昱,21122,40325,23296,-47.62,-9.33,61447,68356,-10.1
108,2,4305,世坤,69434,89113,73942,-22.08,-6.09,158547,180475,-12.15
108,2,9950,萬國通,190588,262812,172115,-27.48,10.73,453400,466764,-2.86
108,2,4401,東隆興,253627,315407,274420,-19.58,-7.57,569034,672881,-15.43
108,2,4402,郡都開發,13436,17207,50054,-21.91,-73.15,30643,130773,-76.56
108,2,4406,新昕纖,33501,57047,36218,-41.27,-7.5,90548,88650,2.14
108,2,4413,飛寶企業,13384,35552,25397,-62.35,-47.3,48936,90227,-45.76
108,2,4417,金洲,103669,231525,188751,-55.22,-45.07,335194,411230,-18.48
108,2,4420,光明,69464,84799,76027,-18.08,-8.63,154263,179654,-14.13
108,2,4432,銘旺實,88733,148992,197879,-40.44,-55.15,237785,317782,-25.17
108,2,4433,興采,92830,162114,78384,-42.73,18.42,254944,170485,49.54
108,2,6506,雙邦,144161,190022,154520,-24.13,-6.7,334183,362289,-7.75
108,2,1570,力肯,21899,56712,33798,-61.38,-35.2,78611,75478,4.15
108,2,1580,新麥,146629,366606,135174,-60.0,8.47,514399,561227,-8.34
108,2,1586,和勤,102876,162322,154285,-36.62,-33.32,265199,360892,-26.51
108,2,1599,宏佳騰,125089,254581,97624,-50.86,28.13,379670,224305,69.26
108,2,2066,世德,187388,233438,80518,-19.72,132.72,420826,190290,121.14
108,2,2067,嘉鋼,58441,93666,90899,-37.6,-35.7,152107,225324,-32.49
108,2,2070,精湛,33097,51682,50911,-35.96,-34.99,84779,93448,-9.27
108,2,2235,謚源,53528,72863,42640,-26.53,25.53,126391,110406,14.47
108,2,3162,精確,64822,59720,35992,8.54,80.1,124542,86462,44.04
108,2,3226,龍鋒,120812,208673,100338,-42.1,20.4,329485,232157,41.92
108,2,3379,彬台,31569,23559,19272,33.99,63.8,55128,36608,50.59
108,2,3685,元創精密,38756,66630,48951,-41.83,-20.82,105386,119024,-11.45
108,2,4502,健信,142550,193699,176967,-26.4,-19.44,336249,413198,-18.62
108,2,4503,金雨,29538,31663,25520,-6.71,15.74,61201,56716,7.9
108,2,4506,崇友,231864,460129,201574,-49.6,15.02,691993,549828,25.85
108,2,4510,高鋒,122073,130154,168874,-6.2,-27.71,252227,390887,-35.47
108,2,4513,福裕,84841,79285,107983,7.0,-21.43,164126,228673,-28.22
108,2,4523,永彰,56651,79692,70132,-28.91,-19.22,136343,224566,-39.28
108,2,4527,方方土霖,109105,189542,140629,-42.43,-22.41,298647,354113,-15.66
108,2,4528,江興鍛,171778,264275,174836,-35.0,-1.74,436052,438354,-0.52
108,2,4533,協易機,183292,359071,209581,-48.95,-12.54,542363,501701,8.1
108,2,4534,慶騰,87171,125452,76383,-30.51,14.12,212623,257313,-17.36
108,2,4535,至興,129511,219157,213062,-40.9,-39.21,348668,518827,-32.79
108,2,4538,大詠城,24717,44677,45402,-44.67,-45.55,69394,105313,-34.1
108,2,4543,萬在,64701,85856,74798,-24.64,-13.49,150557,165570,-9.06
108,2,4549,桓達,76773,85479,58975,-10.18,30.17,162251,158216,2.55
108,2,4550,長佳,57752,64700,162541,-10.73,-64.46,122452,259704,-52.84
108,2,4558,寶緯,78101,123152,50590,-36.58,54.38,201254,152255,32.18
108,2,4561,健椿,52050,44939,58556,15.82,-11.11,96989,149370,-35.06
108,2,4563,百德,98458,95615,111271,2.97,-11.51,194073,236474,-17.93
108,2,4568,科際精密,53464,124583,80483,-57.08,-33.57,178046,192783,-7.64
108,2,4580,捷流閥業,170388,236371,97282,-27.91,75.14,406759,257709,57.83
108,2,5381,光譜,19915,31282,27428,-36.33,-27.39,51197,64151,-20.19
108,2,6122,擎邦,146701,178872,138376,-17.98,6.01,325573,317874,2.42
108,2,6125,廣運,285570,280297,376499,1.88,-24.15,565867,938025,-39.67
108,2,6425,易發,234762,122150,145019,92.19,61.88,356912,303161,17.73
108,2,6603,富強鑫,205948,299095,157770,-31.14,30.53,505095,462730,9.15
108,2,6609,瀧澤科,210550,204672,192041,2.87,9.63,415222,475246,-12.63
108,2,8027,鈦昇,70191,102569,143972,-31.56,-51.24,172760,283391,-39.03
108,2,8083,瑞穎,115012,142024,90038,-19.01,27.73,257036,210409,22.16
108,2,8107,大億金茂,71437,82744,77192,-13.66,-7.45,154181,167897,-8.16
108,2,8255,朋程,239673,283525,267779,-15.46,-10.49,523198,578629,-9.57
108,2,9951,皇田,381860,558200,400142,-31.59,-4.56,940060,954652,-1.52
108,2,2061,風青,58677,103877,67178,-43.51,-12.65,162630,216447,-24.86
108,2,1742,台蠟,18896,25758,30461,-26.64,-37.96,44654,64848,-31.14
108,2,3430,奇鈦科,102079,162586,96311,-37.21,5.98,264665,214925,23.14
108,2,4706,大恭,79413,149289,96266,-46.8,-17.5,228702,253141,-9.65
108,2,4707,磐亞,89062,151979,118702,-41.39,-24.97,241042,270388,-10.85
108,2,4711,永純,62872,113636,77854,-44.67,-19.24,176508,168207,4.93
108,2,4714,永捷,31032,48979,24638,-36.64,25.95,80011,77348,3.44
108,2,4716,大立,66581,86416,46340,-22.95,43.67,152997,142889,7.07
108,2,4721,美琪瑪,272759,365842,390983,-25.44,-30.23,638601,813308,-21.48
108,2,4741,泓瀚,39965,54379,35782,-26.5,11.69,94343,83554,12.91
108,2,4754,國碳科,22866,43867,25224,-47.87,-9.34,66733,53828,23.97
108,2,4767,誠泰科技,49651,120176,64371,-58.68,-22.86,169827,180589,-5.95
108,2,4768,晶呈科技,29775,35678,67587,-16.54,-55.94,65453,109868,-40.42
108,2,6509,聚和,184938,345750,235149,-46.51,-21.35,530688,549998,-3.51
108,2,1565,精華,479118,590044,422814,-18.79,13.31,1069162,995860,7.36
108,2,1777,生泰,61330,67400,55464,-9.0,10.57,128730,109854,17.18
108,2,1781,合世,33684,29587,26882,13.84,25.3,63272,45776,38.22
108,2,1784,訊聯,50864,71929,55702,-29.28,-8.68,122793,122542,0.2
108,2,1788,杏昌,202733,325010,229507,-37.62,-11.66,527743,490309,7.63
108,2,1799,易威,28860,27480,25431,5.02,13.48,56340,70932,-20.57
108,2,1813,寶利徠,43700,60317,32679,-27.54,33.72,104017,73044,42.4
108,2,3118,進階,28525,44885,25987,-36.44,9.76,73410,78074,-5.97
108,2,3176,基亞,25015,47394,31048,-47.21,-19.43,72409,73102,-0.94
108,2,3205,佰研,28641,33177,38235,-13.67,-25.09,61818,74630,-17.16
108,2,3218,大學光,92718,110683,88299,-16.23,5.0,203401,175796,15.7
108,2,4102,永日,35527,25793,25359,37.73,40.09,61320,47463,29.19
108,2,4105,東洋,283957,493603,271369,-42.47,4.63,777560,686687,13.23
108,2,4107,邦特,132167,151209,112659,-12.59,17.31,283376,243347,16.44
108,2,4109,加捷生醫,28269,28359,36927,-0.31,-23.44,56628,68483,-17.31
