roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
111,1,1264,德麥,521490,571633,505872,-8.77,3.08,521490,505872,3.08
111,1,1294,漢田生技,16358,22237,25987,-26.43,-37.05,16358,25987,-37.05
111,1,1780,立弘,64823,58545,52879,10.72,22.58,64823,52879,22.58
111,1,1796,金穎生技,53544,61280,40789,-12.62,31.27,53544,40789,31.27
111,1,4205,中華食,168900,163945,150519,3.02,12.21,168900,150519,12.21
111,1,4207,環泰,412807,390158,352405,5.8,17.13,412807,352405,17.13
111,1,6846,綠茵,56199,70429,53876,-20.2,4.31,56199,53876,4.31
111,1,4303,信立,31656,24923,35379,27.01,-10.52,31656,35379,-10.52
111,1,4304,勝昱,26498,27528,38125,-3.74,-30.49,26498,38125,-30.49
111,1,4305,世坤,73027,105528,87942,-30.79,-16.96,73027,87942,-16.96
111,1,9950,萬國通,232261,129021,105222,80.01,120.73,232261,105222,120.73
111,1,4401,東隆興,365657,424825,329986,-13.92,10.8,365657,329986,10.8
111,1,4402,郡都開發,12227,22691,7987,-46.11,53.08,12227,7987,53.08
111,1,4406,新昕纖,39823,44273,36746,-10.05,8.37,39823,36746,8.37
111,1,4413,飛寶企業,62281,44990,88639,38.43,-29.73,62281,88639,-29.73
111,1,4417,金洲,214229,235820,256478,-9.15,-16.47,214229,256478,-16.47
111,1,4420,光明,81985,74676,76837,9.78,6.69,81985,76837,6.69
111,1,4432,銘旺實,160550,175212,96513,-8.36,66.35,160550,96513,66.35
111,1,4433,興采,312578,277629,135101,12.58,131.36,312578,135101,131.36
111,1,6506,雙邦,199865,174738,161782,14.37,23.53,199865,161782,23.53
111,1,1570,力肯,51559,66409,57884,-22.36,-10.92,51559,57884,-10.92
111,1,1580,新麥,260832,408148,317656,-36.09,-17.88,260832,317656,-17.88
111,1,1586,和勤,271944,249324,253364,9.07,7.33,271944,253364,7.33
111,1,1599,宏佳騰,282526,384018,265211,-26.42,6.52,282526,265211,6.52
111,1,2066,世德,228594,178481,203397,28.07,12.38,228594,203397,12.38
111,1,2067,嘉鋼,106249,79881,88581,33.0,19.94,106249,88581,19.94
111,1,2070,精湛,37510,62754,44805,-40.22,-16.28,37510,44805,-16.28
111,1,2235,謚源,67218,60975,60071,10.23,11.89,67218,60071,11.89
111,1,3162,精確,141129,113700,120537,24.12,17.08,141129,120537,17.08
111,1,3226,龍鋒,237620,215364,207775,10.33,14.36,237620,207775,14.36
111,1,3379,彬台,41327,55928,45985,-26.1,-10.12,41327,45985,-10.12
111,1,3685,元創精密,134641,190715,101693,-29.4,32.39,134641,101693,32.39
111,1,4502,健信,134359,81703,148094,64.44,-9.27,134359,148094,-9.27
111,1,4503,金雨,12808,13388,14424,-4.33,-11.2,12808,14424,-11.2
111,1,4506,崇友,404970,491030,466040,-17.52,-13.1,404970,466040,-13.1
111,1,4510,高鋒,174159,177630,129989,-1.95,33.97,174159,129989,33.97
111,1,4513,福裕,138444,157472,77848,-12.08,77.83,138444,77848,77.83
111,1,4523,永彰,51396,124657,59119,-58.77,-13.06,51396,59119,-13.06
111,1,4527,方方土霖,177021,296286,173177,-40.25,2.21,177021,173177,2.21
111,1,4528,江興鍛,221978,198723,238829,11.7,-7.05,221978,238829,-7.05
111,1,4533,協易機,254826,395119,231644,-35.5,10.0,254826,231644,10.0
111,1,4534,慶騰,79573,75831,146534,4.93,-45.69,79573,146534,-45.69
111,1,4535,至興,303698,255927,287646,18.66,5.58,303698,287646,5.58
111,1,4538,大詠城,50466,38420,36024,31.35,40.08,50466,36024,40.08
111,1,4543,萬在,71098,66986,68602,6.13,3.63,71098,68602,3.63
111,1,4549,桓達,103877,132850,88680,-21.8,17.13,103877,88680,17.13
111,1,4550,長佳,102802,151632,120374,-32.2,-14.59,102802,120374,-14.59
111,1,4558,寶緯,170039,191064,161251,-11.0,5.44,170039,161251,5.44
111,1,4561,健椿,88351,139991,81709,-36.88,8.12,88351,81709,8.12
111,1,4563,百德,166363,303114,104256,-45.11,59.57,166363,104256,59.57
111,1,4568,科際精密,134163,140367,106982,-4.41,25.4,134163,106982,25.4
111,1,4580,捷流閥業,216235,207292,191298,4.31,13.03,216235,191298,13.03
111,1,4584,君帆,104611,78056,107283,34.02,-2.49,104611,107283,-2.49
