roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
104,1,1264,德麥,402791,381180,331067,5.66,21.66,402791,331067,21.66
104,1,1780,立弘,53603,32706,38271,63.89,40.06,53603,38271,40.06
104,1,1796,金穎生技,29669,0,14947,,98.49,29669,14947,98.49
104,1,4205,中華食,110062,113628,116780,-3.13,-5.75,110062,116780,-5.75
104,1,4207,環泰,284275,275648,273691,3.12,3.86,284275,273691,3.86
104,1,4303,信立,52835,48766,46675,8.34,13.19,52835,46675,13.19
104,1,4304,勝昱,40677,35351,58792,15.06,-30.81,40677,58792,-30.81
104,1,4305,世坤,100187,108716,110820,-7.84,-9.59,100187,110820,-9.59
104,1,9950,萬國通,329420,296112,260880,11.24,26.27,329420,260880,26.27
104,1,4401,東隆興,329957,349753,296370,-5.65,11.33,329957,296370,11.33
104,1,4402,郡都開發,102655,224744,65578,-54.32,56.53,102655,65578,56.53
104,1,4406,新昕纖,55259,69160,61213,-20.09,-9.72,55259,61213,-9.72
104,1,4413,飛寶企業,4668,11452,3983,-59.23,17.19,4668,3983,17.19
104,1,4417,金洲,241026,262888,205121,-8.31,17.5,241026,205121,17.5
104,1,4420,光明,31906,33876,31265,-5.81,2.05,31906,31265,2.05
104,1,4432,銘旺實,211736,264921,285270,-20.07,-25.77,211736,285270,-25.77
104,1,4433,興采,94256,98501,80520,-4.3,17.05,94256,80520,17.05
104,1,6506,雙邦,187937,141749,154412,32.58,21.71,187937,154412,21.71
104,1,1570,力肯,51389,48251,43806,6.5,17.31,51389,43806,17.31
104,1,1580,新麥,384225,465186,251362,-17.4,52.85,384225,251362,52.85
104,1,1586,和勤,149124,160583,137030,-7.13,8.82,149124,137030,8.82
104,1,1599,宏佳騰,152007,107377,201599,41.56,-24.59,152007,201599,-24.59
104,1,2066,世德,102361,136955,98879,-25.25,3.52,102361,98879,3.52
104,1,2067,嘉鋼,78152,91805,106675,-14.87,-26.73,78152,106675,-26.73
104,1,2235,謚源,81132,71731,57635,13.1,40.76,81132,57635,40.76
104,1,3162,精確,75002,70839,57645,5.87,30.11,75002,57645,30.11
104,1,3226,龍鋒,63059,80818,48177,-21.97,30.89,63059,48177,30.89
104,1,3379,彬台,17580,426654,26338,-95.87,-33.25,17580,26338,-33.25
104,1,3685,元創精密,48209,63587,46596,-24.18,3.46,48209,46596,3.46
104,1,4502,健信,77093,71795,62540,7.37,23.26,77093,62540,23.26
104,1,4503,金雨,9735,25980,11836,-62.52,-17.75,9735,11836,-17.75
104,1,4506,崇友,290204,647058,254947,-55.15,13.82,290204,254947,13.82
104,1,4510,高鋒,182896,200181,163679,-8.63,11.74,182896,163679,11.74
104,1,4513,福裕,155086,256367,173597,-39.5,-10.66,155086,173597,-10.66
104,1,4523,永彰,93822,121586,122165,-22.83,-23.2,93822,122165,-23.2
104,1,4527,方方土霖,156935,224411,158499,-30.06,-0.98,156935,158499,-0.98
104,1,4528,江興鍛,187628,189371,130931,-0.92,43.3,187628,130931,43.3
104,1,4533,協易機,136413,309469,315688,-55.92,-56.78,136413,315688,-56.78
104,1,4534,慶騰,100420,114759,99388,-12.49,1.03,100420,99388,1.03
104,1,4535,至興,302173,304617,294139,-0.8,2.73,302173,294139,2.73
104,1,4538,大詠城,46155,45423,37220,1.61,24.0,46155,37220,24.0
104,1,4543,萬在,104539,106596,178450,-1.92,-41.41,104539,178450,-41.41
104,1,4549,桓達,71163,88108,60342,-19.23,17.93,71163,60342,17.93
104,1,4550,長佳,84196,92771,64218,-9.24,31.1,84196,64218,31.1
104,1,4558,寶緯,104604,89139,102768,17.34,1.78,104604,102768,1.78
104,1,5381,光譜,108400,100573,146695,7.78,-26.1,108400,146695,-26.1
104,1,6122,擎邦,73243,70193,140563,4.34,-47.89,73243,140563,-47.89
104,1,6125,廣運,888446,1123846,675475,-20.94,31.52,888446,675475,31.52
104,1,6425,易發,136994,197612,151028,-30.67,-9.29,136994,151028,-9.29
104,1,6603,富強鑫,307735,270772,174146,13.65,76.71,307735,174146,76.71
104,1,6609,瀧澤科,238735,225209,244390,6.0,-2.31,238735,244390,-2.31
104,1,8027,鈦昇,246996,161324,58850,53.1,319.7,246996,58850,319.7
104,1,8083,瑞穎,118384,99048,103937,19.52,13.89,118384,103937,13.89
104,1,8107,大億金茂,80200,155044,344399,-48.27,-76.71,80200,344399,-76.71
104,1,8255,朋程,304121,263843,304769,15.26,-0.21,304121,304769,-0.21
104,1,9951,皇田,284990,271949,313481,4.79,-9.08,284990,313481,-9.08
104,1,2061,風青,106708,104489,118658,2.12,-10.07,106708,118658,-10.07
104,1,1742,台蠟,44913,93513,127790,-51.97,-64.85,44913,127790,-64.85
104,1,3430,奇鈦科,67922,68221,80107,-0.43,-15.21,67922,80107,-15.21
104,1,4706,大恭,140481,115560,119478,21.56,17.57,140481,119478,17.57
104,1,4707,磐亞,212867,182555,182526,16.6,16.62,212867,182526,16.62
104,1,4711,永純,120546,112734,112238,6.92,7.4,120546,112238,7.4
104,1,4714,永捷,53019,45016,81240,17.77,-34.73,53019,81240,-34.73
104,1,4716,大立,98290,103444,91715,-4.98,7.16,98290,91715,7.16
104,1,4721,美琪瑪,197893,204496,161127,-3.22,22.81,197893,161127,22.81
104,1,4741,泓瀚,41604,59341,52194,-29.88,-20.28,41604,52194,-20.28
104,1,4754,國碳科,20944,41695,15715,-49.76,33.27,20944,15715,33.27
104,1,6509,聚和,300925,255579,317241,17.74,-5.14,300925,317241,-5.14
104,1,1565,精華,454478,451549,476728,0.64,-4.66,454478,476728,-4.66
104,1,1777,生泰,51511,49082,52299,4.94,-1.5,51511,52299,-1.5
104,1,1781,合世,55513,36860,66530,50.6,-16.55,55513,66530,-16.55
104,1,1784,訊聯,47476,57408,48672,-17.3,-2.45,47476,48672,-2.45
104,1,1788,杏昌,196151,262395,236948,-25.24,-17.21,196151,236948,-17.21
104,1,1799,易威,55470,67317,10283,-17.59,439.43,55470,10283,439.43
104,1,1813,寶利徠,38648,25542,34140,51.31,13.2,38648,34140,13.2
104,1,3118,進階,40551,73822,36384,-45.06,11.45,40551,36384,11.45
104,1,3176,基亞,29646,27624,37175,7.31,-20.25,29646,37175,-20.25
104,1,3205,佰研,55198,59270,20791,-6.87,165.48,55198,20791,165.48
104,1,3218,大學光,80812,81663,87755,-1.04,-7.91,80812,87755,-7.91
104,1,4102,永日,24776,27041,15541,-8.37,59.42,24776,15541,59.42
104,1,4105,東洋,255816,315378,310499,-18.88,-17.61,255816,310499,-17.61
104,1,4107,邦特,100387,100798,85463,-0.4,17.46,100387,85463,17.46
104,1,4109,加捷生醫,51495,51881,60161,-0.74,-14.4,51495,60161,-14.4
104,1,4111,濟生,72063,70871,91214,1.68,-20.99,72063,91214,-20.99
104,1,4114,健喬,158681,140883,128765,12.63,23.23,158681,128765,23.23
104,1,4116,明基醫,79081,95768,65261,-17.42,21.17,79081,65261,21.17
104,1,4120,友華,474382,424478,437560,11.75,8.41,474382,437560,8.41
104,1,4121,優盛,276652,311124,288563,-11.07,-4.12,276652,288563,-4.12
104,1,4123,晟德,95014,98252,94356,-3.29,0.69,95014,94356,0.69
104,1,4126,太醫,134197,129909,125563,3.3,6.87,134197,125563,6.87
104,1,4127,天良,95486,64323,76430,48.44,24.93,95486,76430,24.93
104,1,4128,中天,115894,121703,137031,-4.77,-15.42,115894,137031,-15.42
104,1,4129,聯合,97021,113305,69778,-14.37,39.04,97021,69778,39.04
104,1,4131,浩泰,3022,977,748,209.31,304.01,3022,748,304.01
104,1,4138,曜亞,101522,127461,57755,-20.35,75.78,101522,57755,75.78
104,1,4147,中裕,0,0,0,,,0,0,
104,1,4153,鈺緯,91800,93878,64995,-2.21,41.24,91800,64995,41.24
104,1,4160,訊聯基因,14546,21978,20726,-33.81,-29.81,14546,20726,-29.81
104,1,4161,聿新科,42620,58039,32576,-26.56,30.83,42620,32576,30.83
104,1,4162,智擎,260,2521,1443,-89.68,-81.98,260,1443,-81.98
104,1,4163,鐿鈦,153795,135898,138171,13.16,11.3,153795,138171,11.3
104,1,4166,友霖,10062,40854,11042,-75.37,-8.87,10062,11042,-8.87
104,1,4167,松瑞藥,86104,108886,67954,-20.92,26.7,86104,67954,26.7
104,1,4168,醣聯,32,7884,143,-99.59,-77.62,32,143,-77.62
104,1,4173,久裕,111663,118115,108903,-5.46,2.53,111663,108903,2.53
104,1,4174,浩鼎,0,0,0,,,0,0,
104,1,4175,杏一,295310,372911,283230,-20.8,4.26,295310,283230,4.26
104,1,4183,福永生技,18399,31203,19462,-41.03,-5.46,18399,19462,-5.46
104,1,4188,安克,0,0,0,,,0,0,
104,1,4192,杏國,391,497,250,-21.32,56.4,391,250,56.4
104,1,4198,欣大健康,37696,89895,44581,-58.06,-15.44,37696,44581,-15.44
