roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
111,11,1264,德麥,492249,437074,478574,12.62,2.85,4695475,4365474,7.55
111,11,1294,漢田生技,34257,36813,14888,-6.94,130.09,275927,218057,26.53
111,11,1295,生合,45637,43803,76844,4.18,-40.61,664891,788553,-15.68
111,11,1780,立弘,60652,44807,52214,35.36,16.16,662042,618212,7.08
111,11,1796,金穎生技,56986,55803,49196,2.11,15.83,576562,461054,25.05
111,11,4205,中華食,164805,159746,153528,3.16,7.34,1669396,1560291,6.99
111,11,4207,環泰,451118,410617,399726,9.86,12.85,4617547,3994857,15.58
111,11,6846,綠茵,67303,63746,54104,5.57,24.39,633968,623338,1.7
111,11,4303,信立,22082,18605,24805,18.68,-10.97,297972,341371,-12.71
111,11,4304,勝昱,66075,39203,30894,68.54,113.87,421137,354662,18.74
111,11,4305,世坤,68556,66315,131020,3.37,-47.67,842063,1067309,-21.1
111,11,9950,萬國通,214236,114522,93374,87.06,129.43,2008259,899862,123.17
111,11,4401,東隆興,242346,241311,483996,0.42,-49.92,3895386,4599466,-15.3
111,11,4402,郡都開發,11221,13668,14869,-17.9,-24.53,156853,130848,19.87
111,11,4406,新昕纖,39233,52462,40226,-25.21,-2.46,528919,448804,17.85
111,11,4413,飛寶企業,13889,70081,57754,-80.18,-75.95,669074,596498,12.16
111,11,4417,金洲,355165,354165,167831,0.28,111.62,3030289,2145096,41.26
111,11,4420,光明,72205,80768,89176,-10.6,-19.03,862974,842162,2.47
111,11,4432,銘旺實,124831,102544,91982,21.73,35.71,1441051,1174502,22.69
111,11,4433,興采,219930,207634,228628,5.92,-3.8,2948977,2602079,13.33
111,11,6506,雙邦,152021,119501,156566,27.21,-2.9,2014531,1838432,9.57
111,11,1570,力肯,50451,55065,62112,-8.37,-18.77,577313,624603,-7.57
111,11,1580,新麥,347002,320649,439077,8.21,-20.97,3579094,3883525,-7.83
111,11,1586,和勤,199176,183921,237596,8.29,-16.17,2332543,2394539,-2.58
111,11,1599,宏佳騰,252210,269781,322249,-6.51,-21.73,3166577,3226979,-1.87
111,11,2066,世德,243598,252072,200039,-3.36,21.77,2628538,2113036,24.39
111,11,2067,嘉鋼,115615,116845,88571,-1.05,30.53,1118416,912811,22.52
111,11,2070,精湛,48606,107337,52411,-54.71,-7.25,554672,533820,3.9
111,11,2235,謚源,46935,49445,67437,-5.07,-30.4,691193,643900,7.34
111,11,3162,精確,313810,307776,171170,1.96,83.33,2123410,1231526,72.42
111,11,3226,龍鋒,133073,126017,252403,5.59,-47.27,2132921,2702809,-21.08
111,11,3379,彬台,95317,39464,76354,141.52,24.83,496959,651427,-23.71
111,11,3685,元創精密,129464,141700,155931,-8.63,-16.97,1403810,1300885,7.91
111,11,4502,健信,92151,134268,81431,-31.36,13.16,1354939,1338425,1.23
111,11,4503,金雨,19339,20016,17374,-3.38,11.31,158664,120952,31.17
111,11,4506,崇友,453607,395188,440970,14.78,2.86,4362224,4113985,6.03
111,11,4510,高鋒,160934,160791,194402,0.08,-17.21,1904117,1780672,6.93
111,11,4513,福裕,104119,137090,133880,-24.05,-22.22,1470779,1452507,1.25
111,11,4523,永彰,58520,44055,43840,32.83,33.48,520187,599778,-13.27
111,11,4527,方方土霖,396244,347587,254181,13.99,55.89,2706633,2237881,20.94
111,11,4528,江興鍛,208957,224373,219253,-6.87,-4.69,2243689,2337640,-4.01
111,11,4533,協易機,247442,319786,343320,-22.62,-27.92,3212580,3400631,-5.52
111,11,4534,慶騰,69761,47396,87654,47.18,-20.41,798576,1136099,-29.7
111,11,4535,至興,276984,271867,234336,1.88,18.19,2887277,2510859,14.99
111,11,4538,大詠城,49450,55679,50207,-11.18,-1.5,565283,424172,33.26
111,11,4543,萬在,69636,58241,71231,19.56,-2.23,906757,860165,5.41
111,11,4549,桓達,108903,134440,125873,-18.99,-13.48,1330596,1142225,16.49
111,11,4550,長佳,120438,129023,175864,-6.65,-31.51,1224707,1268897,-3.48
111,11,4558,寶緯,132870,122053,186674,8.86,-28.82,1862310,1934378,-3.72
111,11,4561,健椿,62373,81476,112887,-23.44,-44.74,1012388,1251849,-19.12
111,11,4563,百德,145744,203131,162896,-28.25,-10.52,2285325,1720494,32.82
111,11,4568,科際精密,78552,64828,119811,21.16,-34.43,1210455,1233754,-1.88
111,11,4580,捷流閥業,199275,165259,207107,20.58,-3.78,2367806,2194044,7.91
111,11,4584,君帆,87790,76599,82035,14.6,7.01,960184,1057895,-9.23
111,11,5381,光譜,30150,26193,31601,15.1,-4.59,298102,347387,-14.18
111,11,6122,擎邦,282144,227569,219183,23.98,28.72,2114078,1567620,34.85
111,11,6125,廣運,456666,434932,378354,4.99,20.69,4897692,3642599,34.45
111,11,6425,易發,78600,137033,194682,-42.64,-59.62,1430882,1670113,-14.32
111,11,6603,富強鑫,406467,349257,281698,16.38,44.29,4178935,3882470,7.63
