roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
107,7,1264,德麥,318409,316137,291595,0.71,9.19,2245575,2041968,9.97
107,7,1780,立弘,69256,67585,44577,2.47,55.36,500455,401921,24.51
107,7,1796,金穎生技,29275,30431,28737,-3.79,1.87,197494,214876,-8.08
107,7,4205,中華食,130429,121511,127821,7.33,2.04,856489,814242,5.18
107,7,4207,環泰,353943,317790,296366,11.37,19.42,2197611,1968539,11.63
107,7,4303,信立,33500,41942,34018,-20.12,-1.52,276179,282822,-2.34
107,7,4304,勝昱,33311,36556,35310,-8.87,-5.66,253931,323850,-21.58
107,7,4305,世坤,90030,87869,88631,2.45,1.57,679405,676832,0.38
107,7,9950,萬國通,234734,220133,248017,6.63,-5.35,1581686,1646468,-3.93
107,7,4401,東隆興,322661,326281,362210,-1.1,-10.91,2456444,2624007,-6.38
107,7,4402,郡都開發,47966,28415,36510,68.8,31.37,344413,142228,142.15
107,7,4406,新昕纖,76145,70564,56462,7.9,34.86,440543,393719,11.89
107,7,4413,飛寶企業,64335,49111,85689,30.99,-24.92,355088,153830,130.83
107,7,4417,金洲,278584,359266,207033,-22.45,34.56,1895177,1492834,26.95
107,7,4420,光明,107596,86420,91088,24.5,18.12,651576,641517,1.56
107,7,4432,銘旺實,229399,167424,118571,37.01,93.46,1242667,1019162,21.93
107,7,4433,興采,133102,107442,94868,23.88,40.3,902804,843476,7.03
107,7,6506,雙邦,166289,168799,153095,-1.48,8.61,1418853,1350321,5.07
107,7,1570,力肯,57789,68855,74658,-16.07,-22.59,361731,459492,-21.27
107,7,1580,新麥,370040,366229,372564,1.04,-0.67,2378335,2408337,-1.24
107,7,1586,和勤,202622,246455,199731,-17.78,1.44,1450790,1197008,21.2
107,7,1599,宏佳騰,347272,188226,140144,84.49,147.79,1321522,1068063,23.73
107,7,2066,世德,200282,113774,107316,76.03,86.62,855421,759527,12.62
107,7,2067,嘉鋼,125298,122360,106941,2.4,17.16,842293,656210,28.35
107,7,2070,精湛,60411,84029,38366,-28.1,57.45,451198,379382,18.92
107,7,2235,謚源,70350,62926,59969,11.79,17.31,431374,500489,-13.8
107,7,3162,精確,58176,59774,48428,-2.67,20.12,347977,309517,12.42
107,7,3226,龍鋒,131944,157844,93628,-16.4,40.92,930942,716717,29.88
107,7,3379,彬台,32402,43918,46820,-26.22,-30.79,176393,237722,-25.79
107,7,3685,元創精密,85173,85604,24907,-0.5,241.96,512939,168010,205.3
107,7,4502,健信,227359,242233,229363,-6.14,-0.87,1585508,1776377,-10.74
107,7,4503,金雨,22193,30956,34421,-28.3,-35.52,193078,213188,-9.43
107,7,4506,崇友,315631,375104,294223,-15.85,7.27,2429115,2691962,-9.76
107,7,4510,高鋒,301057,239225,285211,25.84,5.55,1704740,1500489,13.61
107,7,4513,福裕,200887,253753,189288,-20.83,6.12,1306603,995498,31.25
107,7,4523,永彰,58873,83824,91997,-29.76,-36.0,648206,763671,-15.11
107,7,4527,方方土霖,349739,251588,211692,39.01,65.21,1688860,1417131,19.17
107,7,4528,江興鍛,269768,241927,237335,11.5,13.66,1671727,1455507,14.85
107,7,4533,協易機,372381,334446,281021,11.34,32.51,2329656,2243377,3.84
107,7,4534,慶騰,129606,112593,182180,15.11,-28.85,926233,1569258,-40.97
107,7,4535,至興,246309,228862,260072,7.62,-5.29,1797010,1810727,-0.75
107,7,4538,大詠城,68134,47645,57356,43.0,18.79,397942,333739,19.23
107,7,4543,萬在,105104,114330,85845,-8.06,22.43,677295,563940,20.1
107,7,4549,桓達,92951,89472,82586,3.88,12.55,639933,588665,8.7
107,7,4550,長佳,75535,101621,140672,-25.66,-46.3,731044,793366,-7.85
107,7,4558,寶緯,124530,110882,99679,12.3,24.93,706322,697723,1.23
107,7,4561,健椿,94190,113839,72860,-17.26,29.27,642518,500898,28.27
107,7,4563,百德,170997,197148,170376,-13.26,0.36,1150646,974451,18.08
107,7,4568,科際精密,117796,105294,99793,11.87,18.04,725832,685762,5.84
107,7,5381,光譜,34834,37818,26282,-7.89,32.53,251932,228266,10.36
107,7,6122,擎邦,132459,199141,153700,-33.48,-13.81,1159902,1061480,9.27
107,7,6125,廣運,515331,525220,713930,-1.88,-27.81,3628478,4422385,-17.95
107,7,6425,易發,172874,202293,77406,-14.54,123.33,960895,669761,43.46
107,7,6603,富強鑫,277318,346895,304202,-20.05,-8.83,1982765,1774579,11.73
107,7,6609,瀧澤科,270505,307029,192812,-11.89,40.29,1931807,1489664,29.68
107,7,8027,鈦昇,142603,213783,134926,-33.29,5.68,1171284,820081,42.82
107,7,8083,瑞穎,110542,106254,115058,4.03,-3.92,809211,813372,-0.51
107,7,8107,大億金茂,83804,93457,110726,-10.32,-24.31,600929,611131,-1.66
107,7,8255,朋程,302704,315472,278931,-4.04,8.52,2100925,2145266,-2.06
107,7,9951,皇田,449445,488518,382376,-7.99,17.54,3412642,3018311,13.06
107,7,2061,風青,118323,118054,107088,0.22,10.49,845990,673723,25.56
107,7,1742,台蠟,50203,28085,39060,78.75,28.52,243517,259340,-6.1
107,7,3430,奇鈦科,154000,95199,79309,61.76,94.17,749779,530303,41.38
107,7,4706,大恭,142392,134505,137400,5.86,3.63,959575,957835,0.18
107,7,4707,磐亞,157908,188216,113474,-16.1,39.15,1128444,842793,33.89
107,7,4711,永純,110661,93603,131544,18.22,-15.87,657146,785754,-16.36
107,7,4714,永捷,38992,45619,44660,-14.52,-12.69,331802,327536,1.3
107,7,4716,大立,96066,92379,76658,3.99,25.31,634408,617260,2.77
107,7,4721,美琪瑪,435306,432701,431306,0.6,0.92,3010493,2122275,41.85
107,7,4741,泓瀚,60315,58665,65670,2.81,-8.15,425682,421189,1.06
107,7,4754,國碳科,46751,44184,39704,5.8,17.74,259792,241360,7.63
107,7,4767,誠泰科技,96082,95911,84222,0.17,14.08,636150,608282,4.58
107,7,4768,晶呈科技,22083,44607,78775,-50.49,-71.96,319258,277184,15.17
107,7,6509,聚和,281001,257659,237170,9.05,18.48,1953310,1773316,10.15
107,7,1565,精華,558791,558697,586254,0.01,-4.68,3864376,3588835,7.67
107,7,1777,生泰,62648,68760,50601,-8.88,23.8,458488,442863,3.52
107,7,1781,合世,56901,67376,40639,-15.54,40.01,362529,295446,22.7
107,7,1784,訊聯,59641,63463,53363,-6.02,11.76,435929,386191,12.87
107,7,1788,杏昌,246153,280133,226005,-12.12,8.91,1783793,1681974,6.05
107,7,1799,易威,41150,49207,6246,-16.37,558.82,217104,210256,3.25
107,7,1813,寶利徠,38844,38594,27395,0.64,41.79,253884,238370,6.5
107,7,3118,進階,43552,64633,35017,-32.61,24.37,320289,310228,3.24
107,7,3176,基亞,39452,34293,33529,15.04,17.66,273157,255992,6.7
107,7,3205,佰研,35099,39864,36805,-11.95,-4.63,253228,288043,-12.08
107,7,3218,大學光,99383,97575,90992,1.85,9.22,679268,609386,11.46
107,7,4102,永日,23078,31799,22537,-27.42,2.4,172470,174874,-1.37
107,7,4105,東洋,285020,366105,340368,-22.14,-16.26,2333249,2216936,5.24
107,7,4107,邦特,135392,137114,118240,-1.25,14.5,918974,794355,15.68
107,7,4109,加捷生醫,27874,35895,28846,-22.34,-3.36,228349,296279,-22.92
107,7,4111,濟生,85487,77686,90735,10.04,-5.78,567601,601577,-5.64
107,7,4114,健喬,201878,194896,131101,3.58,53.98,1370814,1041877,31.57
107,7,4116,明基醫,93235,120080,93360,-22.35,-0.13,669753,562939,18.97
107,7,4120,友華,374970,446404,405713,-16.0,-7.57,3074192,2966885,3.61
107,7,4121,優盛,282582,265695,254551,6.35,11.01,1830454,1706938,7.23
107,7,4123,晟德,1489380,2828713,1621137,-47.34,-8.12,14582344,10067677,44.84
107,7,4126,太醫,168599,138126,160243,22.06,5.21,1003731,1032797,-2.81
107,7,4127,天良,37506,38519,33910,-2.62,10.6,305142,335453,-9.03
107,7,4128,中天,109790,109596,107266,0.17,2.35,810160,783718,3.37
107,7,4129,聯合,168603,199103,181026,-15.31,-6.86,1384282,1085595,27.51
107,7,4131,浩泰,8292,8439,509,-1.74,1529.07,21272,8207,159.19
107,7,4138,曜亞,96467,102388,97161,-5.78,-0.71,711090,674089,5.48
107,7,4147,中裕,13013,7311,802,77.99,1522.56,51429,4426,1061.97
107,7,4153,鈺緯,55596,55574,49686,0.03,11.89,404484,522972,-22.65
107,7,4160,訊聯基因,30499,28616,27316,6.58,11.65,216745,206362,5.03
107,7,4161,聿新科,34312,32099,30232,6.89,13.49,274928,294436,-6.62
107,7,4162,智擎,92321,4773,2460,1834.23,3652.88,168371,42554,295.66
107,7,4163,鐿鈦,156563,169212,165030,-7.47,-5.13,1052622,1061534,-0.83
107,7,4166,友霖,19479,25025,23417,-22.16,-16.81,136547,131941,3.49
107,7,4167,松瑞藥,96095,118651,112610,-19.01,-14.66,689596,1022572,-32.56
107,7,4168,醣聯,5,357,0,-98.59,,458,521,-12.09
107,7,4173,久裕,107900,77133,82711,39.88,30.45,740822,698658,6.03
107,7,4174,浩鼎,0,157,0,-100.0,,12747,366,3382.78
107,7,4175,杏一,369282,419448,345905,-11.96,6.75,2616773,2433169,7.54
