roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
103,10,1264,德麥,298806,288395,162338,3.6,84.06,2800437,1651659,69.55
103,10,1780,立弘,31822,40933,40355,-22.25,-21.14,392923,397695,-1.19
103,10,4205,中華食,105035,96535,98546,8.8,6.58,1020020,1002420,1.75
103,10,4207,環泰,252788,279376,292542,-9.51,-13.58,2828083,3176957,-10.98
103,10,4303,信立,56337,51847,57070,8.66,-1.28,570756,509784,11.96
103,10,4304,勝昱,40986,44765,59393,-8.44,-30.99,474370,528719,-10.27
103,10,4305,世坤,142370,103057,115235,38.14,23.54,1206816,1088061,10.91
103,10,9950,萬國通,278673,291968,299500,-4.55,-6.95,2949165,2817278,4.68
103,10,4401,東隆興,376209,366549,450269,2.63,-16.44,3670222,4073653,-9.9
103,10,4402,郡都開發,118985,70968,138491,67.66,-14.08,1132047,960789,17.82
103,10,4406,新昕纖,67663,74358,67918,-9.0,-0.37,688899,707175,-2.58
103,10,4413,飛寶企業,4611,4148,4431,11.16,4.06,58806,40363,45.69
103,10,4417,金洲,301051,312651,236375,-3.71,27.36,2380765,2009696,18.46
103,10,4420,光明,35440,31122,33901,13.87,4.53,356799,388469,-8.15
103,10,4432,銘旺實,143140,201012,145400,-28.79,-1.55,2230956,1737389,28.4
103,10,4433,興采,138526,113298,90806,22.26,52.55,1180112,1203942,-1.97
103,10,6506,雙邦,134259,136839,122152,-1.88,9.91,1683065,1497324,12.4
103,10,1570,力肯,23921,53502,62799,-55.28,-61.9,453662,509473,-10.95
103,10,1580,新麥,362213,421616,342496,-14.08,5.75,3389076,3065820,10.54
103,10,1586,和勤,150874,151588,123933,-0.47,21.73,1365621,1056571,29.25
103,10,1599,宏佳騰,385425,319173,241982,20.75,59.27,2071758,1869227,10.83
103,10,2066,世德,104357,103399,93825,0.92,11.22,1048893,871105,20.4
103,10,2067,嘉鋼,82984,102215,107345,-18.81,-22.69,990449,832819,18.92
103,10,2235,謚源,69040,73104,70891,-5.55,-2.61,703527,570778,23.25
103,10,3162,精確,74088,68277,55372,8.51,33.8,661626,640693,3.26
103,10,3226,龍鋒,65981,76176,74852,-13.38,-11.85,729060,558224,30.6
103,10,3379,彬台,35785,139063,35426,-74.26,1.01,782101,810052,-3.45
103,10,3685,元創精密,44271,56760,61379,-22.0,-27.87,476302,589055,-19.14
103,10,4502,健信,74227,77567,54302,-4.3,36.69,712109,770159,-7.53
103,10,4503,金雨,14389,23292,13705,-38.22,4.99,149061,97984,52.12
103,10,4506,崇友,271477,290093,352195,-6.41,-22.91,2664083,2681504,-0.64
103,10,4510,高鋒,173852,162269,189301,7.13,-8.16,1723406,1649506,4.48
103,10,4513,福裕,213916,243004,224841,-11.97,-4.85,2041347,1793177,13.83
103,10,4523,永彰,123844,106854,95723,15.9,29.37,1120356,1060481,5.64
103,10,4527,方方土霖,205323,256445,255296,-19.93,-19.57,2080507,1750366,18.86
103,10,4528,江興鍛,159117,152354,141036,4.43,12.82,1448551,1222596,18.48
103,10,4533,協易機,320140,367852,324867,-12.97,-1.45,3396514,3253025,4.41
103,10,4534,慶騰,82967,90818,87148,-8.64,-4.79,938005,833125,12.58
103,10,4535,至興,280793,281458,281954,-0.23,-0.41,2865202,2834204,1.09
103,10,4538,大詠城,44534,36484,42364,22.06,5.12,416537,355196,17.26
103,10,4543,萬在,118275,95647,82421,23.65,43.5,1294364,1093201,18.4
103,10,4549,桓達,89671,75944,69452,18.07,29.11,752913,665072,13.2
103,10,4550,長佳,152259,113604,112236,34.02,35.65,916906,832315,10.16
103,10,4558,寶緯,112790,115950,88115,-2.72,28.0,1088546,947842,14.84
103,10,5381,光譜,130124,110909,149054,17.32,-12.7,1137101,1600769,-28.96
103,10,6122,擎邦,79451,95181,152670,-16.52,-47.95,1043232,1425312,-26.8
103,10,6125,廣運,824111,802590,698988,2.68,17.9,8254018,6547754,26.05
103,10,6425,易發,168021,217206,166924,-22.64,0.65,1535826,1234125,24.44
103,10,6603,富強鑫,384000,307965,238831,24.68,60.78,2458509,2247652,9.38
103,10,6609,瀧澤科,240492,252253,263925,-4.66,-8.87,2697334,2353149,14.62
103,10,8027,鈦昇,176996,229438,150057,-22.85,17.95,1619412,1092018,48.29
103,10,8083,瑞穎,101433,111771,80302,-9.24,26.31,1073122,838449,27.98
103,10,8107,大億金茂,109445,119282,474066,-8.24,-76.91,2232122,4911261,-54.55
