roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
113,4,1101,台泥,11626493,13649152,9100119,-14.81,27.76,37312156,35461776,5.21
113,4,1102,亞泥,5686606,6409280,7168871,-11.27,-20.67,22186438,26377583,-15.88
113,4,1103,嘉泥,238141,254887,220272,-6.56,8.11,937283,871674,7.52
113,4,1104,環泥,686687,750456,644087,-8.49,6.61,2595259,2479436,4.67
113,4,1108,幸福,426739,449482,396170,-5.05,7.71,1619707,1488849,8.78
113,4,1109,信大,441921,403740,552377,9.45,-19.99,1538991,1886535,-18.42
113,4,1110,東泥,207095,221172,219472,-6.36,-5.63,783991,747610,4.86
113,4,1201,味全,1888811,1781603,1684136,6.01,12.15,7223260,6473406,11.58
113,4,1203,味王,492424,524884,506873,-6.18,-2.85,2051085,2082520,-1.5
113,4,1210,大成,8589785,8587702,8940319,0.02,-3.92,33893877,36005652,-5.86
113,4,1213,大飲,12478,7927,16652,57.41,-25.06,45826,106903,-57.13
113,4,1215,卜蜂,2198777,2376299,2470578,-7.47,-11.0,9110884,9702648,-6.09
113,4,1216,統一,52338982,52191829,44069723,0.28,18.76,211096989,175473423,20.3
113,4,1217,愛之味,353181,373002,342778,-5.31,3.03,1512359,1514028,-0.11
113,4,1218,泰山,884611,866051,820342,2.14,7.83,3641459,3467940,5.0
113,4,1219,福壽,1214607,1202605,1297059,0.99,-6.35,4785542,5546610,-13.72
113,4,1220,台榮,253570,286684,266541,-11.55,-4.86,1018939,921282,10.6
113,4,1225,福懋油,1076322,1151247,1108821,-6.5,-2.93,4420220,4906154,-9.9
113,4,1227,佳格,2083668,2068129,2068043,0.75,0.75,8879517,7948542,11.71
113,4,1229,聯華,1132924,1202405,846720,-5.77,33.8,4183425,3718167,12.51
113,4,1231,聯華食,859339,908144,808023,-5.37,6.35,3764799,3581805,5.1
113,4,1232,大統益,1793456,1911693,1788853,-6.18,0.25,7419802,7996769,-7.21
113,4,1233,天仁,171314,189036,165246,-9.37,3.67,752505,690232,9.02
113,4,1234,黑松,667933,650704,696800,2.64,-4.14,3307332,3238828,2.11
113,4,1235,興泰,9192,9674,2232,-4.98,311.82,26453,7993,230.95
113,4,1236,宏亞,111821,130365,133452,-14.22,-16.2,685423,623019,10.01
