code,name,roc_year,quarter,gross_margin_pct
3577,泓格,115,2,59.06
3580,友威科,115,2,48.25
3581,博磊,115,2,32.7
3587,閎康,115,2,32.47
3594,磐儀,115,2,34.95
3597,映興,115,2,23.7
3609,三一東林,115,2,26.64
3611,鼎翰,115,2,32.5
3615,安可,115,2,19.07
3623,富晶通,115,2,2.45
3624,光頡,115,2,30.89
3625,西勝,115,2,14.21
3628,盈正,115,2,29.01
3629,地心引力,115,2,33.16
3630,新鉅科,115,2,13.22
3631,晟楠,115,2,16.71
3632,研勤,115,2,56.89
3646,艾恩特,115,2,24.25
3663,鑫科,115,2,4.46
3664,安瑞-KY,115,2,91.97
3666,光耀,115,2,-12.85
3672,康聯訊,115,2,36.41
3675,德微,115,2,39.63
3680,家登,115,2,43.23
3684,榮昌,115,2,34.02
3685,元創精密,115,2,23.4
3687,歐買尬,115,2,40.35
3689,湧德,115,2,29.59
3691,碩禾,115,2,14.34
3693,營邦,115,2,26.17
3707,漢磊,115,2,8.42
3709,鑫聯大投控,115,2,6.5
3710,連展投控,115,2,17.95
3713,新晶投控,115,2,24.51
4102,永日,115,2,24.23
4105,東洋,115,2,59.31
4107,邦特,115,2,45.35
4109,加捷生醫,115,2,27.67
4111,濟生,115,2,39.36
4113,聯上,115,2,19.47
4114,健喬,115,2,40.39
4116,明基醫,115,2,32.27
4120,友華,115,2,49.45
4121,優盛,115,2,33.82
4123,晟德,115,2,45.17
4126,太醫,115,2,32.63
4127,天良,115,2,60.14
4128,中天,115,2,38.42
4129,聯合,115,2,78.97
4131,浩泰,115,2,43.78
4138,曜亞,115,2,42.08
4139,馬光-KY,115,2,10.07
4147,中裕,115,2,56.79
4153,鈺緯,115,2,28.65
4154,樂威科-KY,115,2,21.74
4157,太景*-KY,115,2,51.67
4160,訊聯基因,115,2,41.03
4161,聿新科,115,2,27.96
4162,智擎,115,2,93.13
4163,鐿鈦,115,2,42.22
4166,友霖,115,2,54.12
4167,松瑞藥,115,2,34.11
4168,醣聯,115,2,41.33
4171,瑞基,115,2,76.36
4173,久裕,115,2,19.35
4174,浩鼎,115,2,-199.35
4175,杏一,115,2,33.56
4183,福永生技,115,2,17.38
4188,安克,115,2,42.62
4192,杏國,115,2,66.27
4198,欣大健康,115,2,33.86
4205,中華食,115,2,36.77
4207,環泰,115,2,18.52
4303,信立,115,2,20.11
4304,勝昱,115,2,20.14
4305,世坤,115,2,34.49
4401,東隆興,115,2,8.45
4402,郡都開發,115,2,11.93
4406,新昕纖,115,2,-5.32
4413,飛寶企業,115,2,20.11
4416,三圓,115,2,56.32
4417,金洲,115,2,32.32
4419,皇家美食,115,2,28.37
4420,光明,115,2,7.2
4430,耀億,115,2,21.72
4432,銘旺實,115,2,23.11
4433,興采,115,2,12.41
4442,竣邦-KY,115,2,27.47
4502,健信,115,2,18.04
4503,金雨,115,2,38.62
4506,崇友,115,2,33.82
4510,高鋒,115,2,14.96
4513,福裕,115,2,11.98
4523,永彰,115,2,20.24
4527,方方土霖,115,2,25.93
4528,江興鍛,115,2,11.63
4529,淳紳,115,2,42.52
4530,天意能創,115,2,8.08
4533,協易機,115,2,21.6
4534,慶騰,115,2,15.99
4535,至興,115,2,17.39
4538,大詠城,115,2,16.29
4541,晟田,115,2,24.07
4542,科嶠,115,2,38.96
4543,萬在,115,2,31.93
4549,桓達,115,2,62.7
4550,長佳,115,2,22.3
4554,橙的,115,2,44.16
4556,旭然,115,2,38.02
4558,寶緯,115,2,10.91
4561,健椿,115,2,25.63
4563,百德,115,2,27.94
4568,科際精密,115,2,27.16
4577,達航科技,115,2,24.54
4580,捷流閥業,115,2,28.25
4584,君帆,115,2,29.7
4609,唐鋒,115,2,10.79
4702,中美實,115,2,36.41
4706,大恭,115,2,19.42
4707,磐亞,115,2,3.82
4711,永純,115,2,20.75
4714,永捷,115,2,14.65
4716,大立,115,2,16.19
4721,美琪瑪,115,2,26.16
4726,永昕,115,2,-19.36
4728,雙美,115,2,80.46
4729,熒茂,115,2,22.38
4735,豪展,115,2,31.09
4741,泓瀚,115,2,35.3
4743,合一,115,2,42.01
4744,皇將,115,2,52.13
4745,合富-KY,115,2,16.68
4747,強生*,115,2,38.5
4749,新應材,115,2,44.97
4754,國碳科,115,2,50.69
4760,勤凱科技,115,2,18.94
4767,誠泰科技,115,2,30.5
4768,晶呈科技,115,2,18.5
4772,台特化,115,2,51.44
4804,大略-KY,115,2,99.4
4806,桂田文創,115,2,23.08
4903,聯光通,115,2,9.73
4905,台聯電,115,2,27.29
4907,富宇,115,2,44.07
4908,前鼎,115,2,46.27
4909,新復興,115,2,-25.04
4911,德英,115,2,70.36
4923,力士,115,2,27.9
4924,欣厚-KY,115,2,26.22
4931,新盛力,115,2,22.81
4933,友輝,115,2,32.09
4939,亞電,115,2,27.31
4946,辣椒,115,2,34.42
4950,金耘國際,115,2,19.19
4951,精拓科,115,2,76.52
4953,緯致,115,2,14.61
4966,譜瑞-KY,115,2,40.25
4971,IET-KY,115,2,41.81
4972,湯石照明,115,2,22.9
4973,廣穎電通,115,2,38.8
4974,亞泰,115,2,14.03
4979,華星光,115,2,23.87
4991,環宇-KY,115,2,48.69
4995,晶達,115,2,31.26
5009,榮剛,115,2,24.08
5011,久陽,115,2,6.31
5013,強新,115,2,13.83
5014,建錩,115,2,4.96
5015,華祺,115,2,20.44
5016,松和,115,2,12.07
5201,凱衛,115,2,33.39
5202,力新,115,2,72.28
5205,中茂,115,2,6.02
5206,坤悅,115,2,40.17
5209,新鼎,115,2,19.28
5210,寶碩,115,2,70.4
5211,蒙恬,115,2,43.95
5212,凌網,115,2,50.8
5213,亞昕,115,2,31.28
5220,萬達光電,115,2,20.92
5223,安力-KY,115,2,14.21
5227,立凱-KY,115,2,-109.65
5228,鈺鎧,115,2,34.32
5230,雷笛克光學,115,2,26.76
5245,智晶,115,2,5.91
5251,天鉞電,115,2,43.14
5263,智崴,115,2,44.29
5272,笙科,115,2,37.8
5274,信驊,115,2,70.74
5276,達輝-KY,115,2,19.44
5278,尚凡*,115,2,55.73
5287,數字,115,2,68.13
5289,宜鼎,115,2,62.82
5291,邑昇,115,2,21.74
5299,杰力,115,2,33.83
5301,寶得利,115,2,84.59
5302,太欣,115,2,31.11
5309,系統電,115,2,23.52
5310,天剛,115,2,9.91
5312,寶島科,115,2,64.48
5314,世紀*,115,2,41.72
5315,光聯,115,2,19.36
5321,美而快,115,2,49.71
5324,士開,115,2,43.45
5328,華容,115,2,23.77
5340,建榮,115,2,22.14
5344,立衛,115,2,12.88
5345,馥鴻,115,2,27.71
5347,世界,115,2,30.91
5348,正能量智能,115,2,28.39
5351,鈺創,115,2,46.6
5353,台林,115,2,24.5
5355,佳總,115,2,0.42
5356,協益,115,2,12.08
5364,力麗店,115,2,7.9
5381,光譜,115,2,30.46
5386,青雲,115,2,23.88
5392,能率,115,2,14.65
5398,慕康生醫,115,2,20.72
5403,中菲,115,2,39.8
5410,國眾,115,2,16.97
5425,台半,115,2,30.4
5426,振發,115,2,21.17
5432,新門,115,2,27.57
5438,東友,115,2,12.41
5439,高技,115,2,21.49
5443,均豪,115,2,36.78
5450,南良,115,2,26.38
5452,佶優,115,2,15.14
5455,昇益,115,2,37.65
5457,宣德,115,2,13.22
5460,同協,115,2,32.35
5464,霖宏,115,2,6.43
5465,富驊,115,2,16.72
5468,凱鈺,115,2,35.72
5474,聰泰,115,2,41.13
5475,德宏,115,2,33.43
5478,智冠,115,2,57.42
5481,新華,115,2,47.26
5483,中美晶,115,2,22.93
5487,通泰,115,2,34.51
5488,松普,115,2,14.93
5489,彩富,115,2,30.49
5490,同亨,115,2,43.62
5493,三聯,115,2,12.53
5498,凱崴,115,2,15.5
5508,永信建,115,2,39.34
5511,德昌,115,2,19.92
5512,力麒,115,2,25.53
5514,三豐,115,2,17.92
5516,雙喜,115,2,6.17
5520,力泰,115,2,24.08
5523,豐謙,115,2,88.23
5529,鉅陞,115,2,35.79
5530,龍巖,115,2,61.01
5536,聖暉*,115,2,22.84
5543,桓鼎-KY,115,2,14.47
5547,久舜,115,2,11.5
5548,安倉,115,2,8.74
5601,台聯櫃,115,2,60.09
5603,陸海,115,2,12.47
5604,中連,115,2,82.98
5609,中菲行,115,2,12.68
5701,劍湖山,115,2,41.08
5703,亞都麗緻,115,2,47.62
5704,老爺知,115,2,27.39
5878,台名,115,2,20.12
5902,德記,115,2,25.33
5903,全家,115,2,35.27
