code,name,roc_year,quarter,gross_margin_pct
2012,春雨,115,2,14.82
2013,中鋼構,115,2,5.06
2014,中鴻,115,2,3.05
2015,豐興,115,2,12.77
2017,官田鋼,115,2,3.27
2020,美亞,115,2,23.5
2022,聚亨,115,2,6.76
2023,燁輝,115,2,9.51
2024,志聯,115,2,9.66
2025,千興,115,2,16.57
2027,大成鋼,115,2,29.02
2028,威致,115,2,5.3
2029,盛餘,115,2,15.49
2030,彰源,115,2,17.09
2031,新光鋼,115,2,13.54
2032,新鋼,115,2,11.54
2033,佳大,115,2,15.11
2034,允強,115,2,9.72
2038,海光,115,2,1.38
2049,上銀,115,2,33.14
2059,川湖,115,2,84.18
2062,橋椿,115,2,11.13
2069,運錩,115,2,14.66
2072,世紀風電,115,2,25.23
2101,南港,115,2,42.52
2102,泰豐,115,2,18.85
2103,台橡,115,2,17.01
2104,國際中橡,115,2,-11.46
2105,正新,115,2,24.84
2106,建大,115,2,19.73
2107,厚生,115,2,39.07
2108,南帝,115,2,30.4
2109,華豐,115,2,21.94
2114,鑫永銓,115,2,39.12
2115,六暉-KY,115,2,19.32
2201,裕隆,115,2,32.76
2204,中華,115,2,14.3
2206,三陽工業,115,2,20.96
2208,台船,115,2,-5.91
2211,長榮鋼,115,2,25.73
2227,裕日車,115,2,8.34
2228,劍麟,115,2,21.74
2231,為升,115,2,35.92
2233,宇隆,115,2,29.61
2236,百達-KY,115,2,12.75
2237,華德動能-創,115,2,21.0
2239,英利-KY,115,2,7.37
2241,艾姆勒,115,2,9.3
2243,宏旭-KY,115,2,10.76
2247,汎德永業,115,2,11.63
2248,華勝-KY,115,2,31.38
2250,IKKA-KY,115,2,16.24
2254,巨鎧精密-創,115,2,-65.23
2258,鴻華先進-創,115,2,11.49
2301,光寶科,115,2,24.71
2302,麗正,115,2,35.58
2303,聯電,115,2,30.93
2305,全友,115,2,45.67
2308,台達電,115,2,36.27
2312,金寶,115,2,6.88
2313,華通,115,2,18.25
2314,台揚,115,2,9.51
2316,楠梓電,115,2,1.09
2317,鴻海,115,2,6.15
2321,東訊,115,2,34.96
2323,中環,115,2,25.92
2324,仁寶,115,2,4.92
2327,國巨*,115,2,38.32
2328,廣宇,115,2,8.22
2329,華泰,115,2,13.03
2330,台積電,115,2,67.03
2331,精英,115,2,8.21
2332,友訊,115,2,24.66
2337,旺宏,115,2,56.06
2338,光罩,115,2,16.17
2340,台亞,115,2,-1.89
2342,茂矽,115,2,15.26
2344,華邦電,115,2,61.23
2345,智邦,115,2,19.63
2347,聯強,115,2,3.74
2348,海悅,115,2,26.04
2349,錸德,115,2,17.18
2351,順德,115,2,20.02
2352,佳世達,115,2,16.98
2353,宏碁,115,2,11.28
2354,鴻準,115,2,4.4
2355,敬鵬,115,2,12.13
2356,英業達,115,2,4.59
2357,華碩,115,2,16.14
2359,所羅門,115,2,20.35
2360,致茂,115,2,61.48
2362,藍天,115,2,18.77
2363,矽統,115,2,28.42
2364,倫飛,115,2,41.63
2365,昆盈,115,2,38.85
2367,燿華,115,2,6.5
2368,金像電,115,2,34.72
2369,菱生,115,2,8.81
2371,大同,115,2,16.93
2373,震旦行,115,2,45.15
2374,佳能,115,2,24.18
2375,凱美,115,2,18.07
2376,技嘉,115,2,10.63
2377,微星,115,2,15.46
2379,瑞昱,115,2,48.31
2380,虹光,115,2,29.04
2382,廣達,115,2,4.92
2383,台光電,115,2,32.03
2385,群光,115,2,14.9
2387,精元,115,2,11.52
2388,威盛,115,2,22.57
2390,云辰,115,2,20.2
2392,正崴,115,2,12.3
2393,億光,115,2,24.44
2395,研華,115,2,38.32
2397,友通,115,2,25.04
2399,映泰,115,2,13.07
2401,凌陽,115,2,48.57
2402,毅嘉,115,2,13.55
2404,漢唐,115,2,23.5
2405,輔信,115,2,43.1
2406,國碩,115,2,15.11
2408,南亞科,115,2,75.16
2409,友達,115,2,12.46
2412,中華電,115,2,37.73
2413,環科,115,2,16.97
2414,精技,115,2,7.1
2415,錩新,115,2,23.0
2417,圓剛,115,2,57.65
2419,仲琦,115,2,18.67
2420,新巨,115,2,49.14
2421,建準,115,2,31.45
2423,固緯,115,2,55.75
2424,隴華,115,2,16.58
2425,承啟,115,2,7.17
2426,鼎元,115,2,21.23
2427,三商電,115,2,24.1
2428,興勤,115,2,35.98
2429,銘旺科,115,2,4.58
2430,燦坤,115,2,14.59
2431,聯昌,115,2,-1.07
2432,倚天酷碁-創,115,2,10.62
2433,互盛電,115,2,35.71
2434,統懋,115,2,-42.39
2436,偉詮電,115,2,32.33
2438,翔耀,115,2,9.91
2439,美律,115,2,10.93
2440,太空梭,115,2,4.67
2441,超豐,115,2,23.95
2442,新美齊,115,2,26.26
2444,兆勁,115,2,-5.17
2449,京元電子,115,2,39.61
2450,神腦,115,2,9.9
2451,創見,115,2,76.76
2453,凌群,115,2,24.86
2454,聯發科,115,2,46.25
2455,全新,115,2,38.35
2457,飛宏,115,2,22.56
2458,義隆,115,2,47.53
2459,敦吉,115,2,30.04
2460,建通,115,2,10.61
2461,光群雷,115,2,27.05
2462,良得電,115,2,9.59
2464,盟立,115,2,20.67
2465,麗臺,115,2,11.66
2466,冠西電,115,2,20.77
2467,志聖,115,2,49.08
2468,華經,115,2,10.8
2471,資通,115,2,38.09
2472,立隆電,115,2,30.87
2474,可成,115,2,28.83
2476,鉅祥,115,2,30.8
2477,美隆電,115,2,23.73
2478,大毅,115,2,27.02
2480,敦陽科,115,2,22.89
2481,強茂,115,2,33.0
2482,連宇,115,2,40.73
2483,百容,115,2,14.17
2484,希華,115,2,24.64
2485,兆赫,115,2,18.75
2486,一詮,115,2,21.0
2488,漢平,115,2,22.11
2489,瑞軒,115,2,8.07
2491,吉祥全,115,2,21.31
2492,華新科,115,2,19.38
2493,揚博,115,2,28.9
2495,普安,115,2,41.65
2496,卓越,115,2,54.67
2497,怡利電,115,2,26.02
2498,宏達電,115,2,42.15
2501,國建,115,2,25.04
2504,國產,115,2,25.75
2505,國揚,115,2,29.85
2506,太設,115,2,46.37
2509,全坤建,115,2,21.92
2511,太子,115,2,29.15
2514,龍邦,115,2,12.77
2515,中工,115,2,8.32
2516,新建,115,2,5.49
2520,冠德,115,2,26.22
2524,京城,115,2,50.66
2527,宏璟,115,2,27.41
2528,皇普,115,2,32.71
2530,華建,115,2,15.05
2534,宏盛,115,2,72.36
2535,達欣工,115,2,12.18
2536,宏普,115,2,21.36
2537,聯上發,115,2,22.77
2538,基泰,115,2,90.66
2539,櫻花建,115,2,44.84
2540,愛山林,115,2,18.56
2542,興富發,115,2,31.0
2543,皇昌,115,2,16.13
2545,皇翔,115,2,27.52
2546,根基,115,2,14.42
2547,日勝生,115,2,42.57
2548,華固,115,2,27.0
2597,潤弘,115,2,17.21
2601,益航,115,2,22.87
2603,長榮,115,2,19.5
2605,新興,115,2,43.97
2606,裕民,115,2,33.88
2607,榮運,115,2,20.87
2608,嘉里大榮,115,2,18.12
2609,陽明,115,2,12.86
2610,華航,115,2,15.6
2611,志信,115,2,27.64
2612,中航,115,2,35.64
2613,中櫃,115,2,15.86
2614,東森,115,2,32.38
2615,萬海,115,2,27.03
2616,山隆,115,2,6.56
2617,台航,115,2,43.52
2618,長榮航,115,2,19.83
2630,亞航,115,2,8.49
2633,台灣高鐵,115,2,44.12
2634,漢翔,115,2,13.93
2636,台驊控股,115,2,14.81
2637,慧洋-KY,115,2,34.47
2642,宅配通,115,2,4.19
2645,長榮航太,115,2,24.28
2646,星宇航空,115,2,11.69
2701,萬企,115,2,80.06
2702,華園,115,2,89.13
2704,國賓,115,2,30.08
2705,六福,115,2,27.55
2706,第一店,115,2,76.35
2707,晶華,115,2,34.8
2712,遠雄來,115,2,17.64
2722,夏都,115,2,27.44
2723,美食-KY,115,2,61.38
2727,王品,115,2,47.63
2731,雄獅,115,2,15.12
2739,寒舍,115,2,40.39
2748,雲品,115,2,31.84
2753,八方雲集,115,2,36.03
2762,世界健身-KY,115,2,21.58
2816,旺旺保,115,2,
2832,台產,115,2,
2850,新產,115,2,
2851,中再保,115,2,
2852,第一保,115,2,
2901,欣欣,115,2,87.0
2903,遠百,115,2,59.14
2904,匯僑,115,2,25.12
2906,高林,115,2,30.61
2908,特力,115,2,30.99
2910,統領,115,2,86.46
2911,麗嬰房,115,2,42.51
2912,統一超,115,2,34.58
2913,農林,115,2,36.36
2915,潤泰全,115,2,47.34
2923,鼎固-KY,115,2,53.75
2929,淘帝-KY,115,2,14.2
2939,永邑-KY,115,2,17.35
2945,三商家購,115,2,26.78
3002,歐格,115,2,8.7
3003,健和興,115,2,23.58
3004,豐達科,115,2,24.15
3005,神基,115,2,31.41
3006,晶豪科,115,2,61.44
3008,大立光,115,2,49.41
3010,華立,115,2,8.24
3011,今皓,115,2,4.49
3013,晟銘電,115,2,20.82
3014,聯陽,115,2,57.21
3015,全漢,115,2,18.18
3016,嘉晶,115,2,20.91
3017,奇鋐,115,2,31.17
3018,隆銘綠能,115,2,-16.67
3019,亞光,115,2,17.91
3021,鴻名,115,2,20.03
3022,威強電,115,2,27.87
3023,信邦,115,2,24.53
3024,憶聲,115,2,27.76
3025,星通,115,2,64.15
3026,禾伸堂,115,2,25.27
3027,盛達,115,2,23.25
3028,增你強,115,2,8.29
3029,零壹,115,2,12.34
3030,德律,115,2,59.41
3031,佰鴻,115,2,27.91
3032,偉訓,115,2,23.67
3033,威健,115,2,6.25
3034,聯詠,115,2,40.92
3035,智原,115,2,46.14
3036,文曄,115,2,3.43
3037,欣興,115,2,21.61
3038,全台,115,2,21.85
3040,遠見,115,2,60.47
3041,揚智,115,2,51.1
3042,晶技,115,2,32.74
3043,科風,115,2,24.79
3044,健鼎,115,2,28.45
3045,台灣大,115,2,21.86
3046,建碁,115,2,8.71
